Script started.
loading dataset mnist
==>>> total trainning batch number: 469
==>>> total testing batch number: 79
1/100: weight=tensor([0.7777, 0.6287], device='cuda:0', requires_grad=True) train_loss=[1.4273628 1.6867273], train_acc=[0.52435 0.42965]
64/100: weight=tensor([0.6574, 0.7536], device='cuda:0', requires_grad=True) train_loss=[0.37621394 0.38903713], train_acc=[0.8786  0.86985]
66/100: weight=tensor([0.6222, 0.7828], device='cuda:0', requires_grad=True) train_loss=[0.3596494  0.36436146], train_acc=[0.8846  0.87755]
68/100: weight=tensor([0.6157, 0.7880], device='cuda:0', requires_grad=True) train_loss=[0.3600151  0.36682382], train_acc=[0.8836  0.87555]
70/100: weight=tensor([0.6548, 0.7558], device='cuda:0', requires_grad=True) train_loss=[0.36853328 0.358833  ], train_acc=[0.8808  0.87995]
72/100: weight=tensor([0.6761, 0.7368], device='cuda:0', requires_grad=True) train_loss=[0.35069916 0.3703708 ], train_acc=[0.88715 0.8741 ]
74/100: weight=tensor([0.6218, 0.7832], device='cuda:0', requires_grad=True) train_loss=[0.35610962 0.36459285], train_acc=[0.88645 0.87905]
76/100: weight=tensor([0.6050, 0.7962], device='cuda:0', requires_grad=True) train_loss=[0.35340175 0.36780393], train_acc=[0.8873 0.8772]
78/100: weight=tensor([0.6339, 0.7734], device='cuda:0', requires_grad=True) train_loss=[0.3435563  0.35300052], train_acc=[0.8904  0.88185]
80/100: weight=tensor([0.6610, 0.7504], device='cuda:0', requires_grad=True) train_loss=[0.3490682 0.3553237], train_acc=[0.88905 0.88135]
82/100: weight=tensor([0.6588, 0.7523], device='cuda:0', requires_grad=True) train_loss=[0.34377727 0.34804168], train_acc=[0.889   0.88525]
84/100: weight=tensor([0.6634, 0.7482], device='cuda:0', requires_grad=True) train_loss=[0.33832568 0.368294  ], train_acc=[0.8911  0.87805]
86/100: weight=tensor([0.6357, 0.7720], device='cuda:0', requires_grad=True) train_loss=[0.34203756 0.3462912 ], train_acc=[0.8894 0.8842]
88/100: weight=tensor([0.6460, 0.7633], device='cuda:0', requires_grad=True) train_loss=[0.34784427 0.33999404], train_acc=[0.89045 0.886  ]
90/100: weight=tensor([0.6650, 0.7468], device='cuda:0', requires_grad=True) train_loss=[0.33796516 0.35257038], train_acc=[0.89235 0.88345]
92/100: weight=tensor([0.5950, 0.8038], device='cuda:0', requires_grad=True) train_loss=[0.33273745 0.3421666 ], train_acc=[0.8929 0.8844]
94/100: weight=tensor([0.6431, 0.7658], device='cuda:0', requires_grad=True) train_loss=[0.33053362 0.35380182], train_acc=[0.89295 0.88195]
96/100: weight=tensor([0.6325, 0.7745], device='cuda:0', requires_grad=True) train_loss=[0.32767934 0.34118176], train_acc=[0.8945 0.8885]
98/100: weight=tensor([0.6557, 0.7550], device='cuda:0', requires_grad=True) train_loss=[0.32977036 0.33809522], train_acc=[0.89535 0.88695]
100/100: weight=tensor([0.6347, 0.7728], device='cuda:0', requires_grad=True) train_loss=[0.32978475 0.33478302], train_acc=[0.89575 0.88805]
**** Time taken for mnist_3 = 3235.13139462471
loading dataset mnist
==>>> total trainning batch number: 469
==>>> total testing batch number: 79
1/100: weight=tensor([0.5905, 0.8070], device='cuda:0', requires_grad=True) train_loss=[1.4354162 1.5582662], train_acc=[0.50815 0.46815]
2/100: weight=tensor([0.6414, 0.7672], device='cuda:0', requires_grad=True) train_loss=[1.0099285 1.1293087], train_acc=[0.66815 0.6218 ]
4/100: weight=tensor([0.6773, 0.7357], device='cuda:0', requires_grad=True) train_loss=[0.7371581  0.81932575], train_acc=[0.76055 0.7215 ]
6/100: weight=tensor([0.6785, 0.7346], device='cuda:0', requires_grad=True) train_loss=[0.6121442 0.7414148], train_acc=[0.8025 0.7533]
8/100: weight=tensor([0.6351, 0.7724], device='cuda:0', requires_grad=True) train_loss=[0.5450069  0.64601034], train_acc=[0.8262  0.78295]
10/100: weight=tensor([0.6633, 0.7483], device='cuda:0', requires_grad=True) train_loss=[0.50822383 0.5964726 ], train_acc=[0.83715 0.8009 ]
12/100: weight=tensor([0.6320, 0.7750], device='cuda:0', requires_grad=True) train_loss=[0.49118507 0.55250233], train_acc=[0.83995 0.81295]
14/100: weight=tensor([0.6630, 0.7486], device='cuda:0', requires_grad=True) train_loss=[0.4502836  0.52497727], train_acc=[0.8537 0.8235]
16/100: weight=tensor([0.6662, 0.7458], device='cuda:0', requires_grad=True) train_loss=[0.4352388  0.50314176], train_acc=[0.8585 0.8326]
18/100: weight=tensor([0.7108, 0.7034], device='cuda:0', requires_grad=True) train_loss=[0.42061186 0.48331684], train_acc=[0.8627 0.8373]
20/100: weight=tensor([0.6442, 0.7648], device='cuda:0', requires_grad=True) train_loss=[0.41321266 0.4965181 ], train_acc=[0.86515 0.83515]
22/100: weight=tensor([0.7230, 0.6908], device='cuda:0', requires_grad=True) train_loss=[0.4156139  0.45897546], train_acc=[0.865  0.8448]
24/100: weight=tensor([0.6499, 0.7600], device='cuda:0', requires_grad=True) train_loss=[0.4204096  0.46091133], train_acc=[0.8624  0.84575]
26/100: weight=tensor([0.6455, 0.7638], device='cuda:0', requires_grad=True) train_loss=[0.39212602 0.4478266 ], train_acc=[0.8714 0.8471]
28/100: weight=tensor([0.6865, 0.7271], device='cuda:0', requires_grad=True) train_loss=[0.3816621  0.43925768], train_acc=[0.87675 0.8525 ]
30/100: weight=tensor([0.6829, 0.7305], device='cuda:0', requires_grad=True) train_loss=[0.37501284 0.44243333], train_acc=[0.8767  0.85075]
32/100: weight=tensor([0.6447, 0.7645], device='cuda:0', requires_grad=True) train_loss=[0.3649682  0.42771643], train_acc=[0.88085 0.85575]
34/100: weight=tensor([0.6649, 0.7470], device='cuda:0', requires_grad=True) train_loss=[0.35927773 0.43363404], train_acc=[0.8821  0.85445]
36/100: weight=tensor([0.6527, 0.7576], device='cuda:0', requires_grad=True) train_loss=[0.3623295  0.41157335], train_acc=[0.87915 0.86145]
38/100: weight=tensor([0.5912, 0.8065], device='cuda:0', requires_grad=True) train_loss=[0.35306108 0.41929612], train_acc=[0.8829  0.86085]
40/100: weight=tensor([0.6441, 0.7650], device='cuda:0', requires_grad=True) train_loss=[0.35347506 0.4091746 ], train_acc=[0.88325 0.86385]
42/100: weight=tensor([0.6955, 0.7185], device='cuda:0', requires_grad=True) train_loss=[0.3489964 0.4025368], train_acc=[0.88465 0.86425]
44/100: weight=tensor([0.7022, 0.7120], device='cuda:0', requires_grad=True) train_loss=[0.34900874 0.3983841 ], train_acc=[0.88525 0.8668 ]
46/100: weight=tensor([0.6896, 0.7242], device='cuda:0', requires_grad=True) train_loss=[0.350487   0.40738297], train_acc=[0.88565 0.8639 ]
48/100: weight=tensor([0.6766, 0.7363], device='cuda:0', requires_grad=True) train_loss=[0.33538082 0.4096672 ], train_acc=[0.891  0.8627]
50/100: weight=tensor([0.7349, 0.6781], device='cuda:0', requires_grad=True) train_loss=[0.33591986 0.40866578], train_acc=[0.8924  0.86355]
52/100: weight=tensor([0.6192, 0.7853], device='cuda:0', requires_grad=True) train_loss=[0.34192696 0.38859028], train_acc=[0.88645 0.8689 ]
54/100: weight=tensor([0.6527, 0.7576], device='cuda:0', requires_grad=True) train_loss=[0.34370634 0.38604188], train_acc=[0.8888  0.86915]
56/100: weight=tensor([0.6335, 0.7737], device='cuda:0', requires_grad=True) train_loss=[0.3372486 0.38078  ], train_acc=[0.8893  0.87335]
58/100: weight=tensor([0.7062, 0.7080], device='cuda:0', requires_grad=True) train_loss=[0.32693443 0.38329485], train_acc=[0.89475 0.8706 ]
60/100: weight=tensor([0.6589, 0.7522], device='cuda:0', requires_grad=True) train_loss=[0.33855116 0.38175857], train_acc=[0.88965 0.8718 ]
62/100: weight=tensor([0.6551, 0.7556], device='cuda:0', requires_grad=True) train_loss=[0.32375687 0.37940782], train_acc=[0.89505 0.8737 ]
64/100: weight=tensor([0.6790, 0.7342], device='cuda:0', requires_grad=True) train_loss=[0.3412293  0.37152496], train_acc=[0.8884  0.87635]
66/100: weight=tensor([0.6854, 0.7281], device='cuda:0', requires_grad=True) train_loss=[0.3196463  0.36904156], train_acc=[0.89495 0.87655]
68/100: weight=tensor([0.6377, 0.7703], device='cuda:0', requires_grad=True) train_loss=[0.32216552 0.39296937], train_acc=[0.89555 0.8691 ]
70/100: weight=tensor([0.7042, 0.7100], device='cuda:0', requires_grad=True) train_loss=[0.3214125 0.3649927], train_acc=[0.8939 0.8783]
72/100: weight=tensor([0.6372, 0.7707], device='cuda:0', requires_grad=True) train_loss=[0.33323526 0.37645018], train_acc=[0.8901  0.87375]
74/100: weight=tensor([0.6601, 0.7512], device='cuda:0', requires_grad=True) train_loss=[0.3171104  0.36492667], train_acc=[0.8959 0.8802]
76/100: weight=tensor([0.6827, 0.7307], device='cuda:0', requires_grad=True) train_loss=[0.31405872 0.36253667], train_acc=[0.8963  0.87895]
78/100: weight=tensor([0.7351, 0.6780], device='cuda:0', requires_grad=True) train_loss=[0.3157637  0.35784325], train_acc=[0.89515 0.8816 ]
80/100: weight=tensor([0.7019, 0.7123], device='cuda:0', requires_grad=True) train_loss=[0.3079024  0.36205012], train_acc=[0.8987  0.88145]
82/100: weight=tensor([0.6922, 0.7217], device='cuda:0', requires_grad=True) train_loss=[0.31039172 0.38654914], train_acc=[0.8976  0.87225]
84/100: weight=tensor([0.6694, 0.7429], device='cuda:0', requires_grad=True) train_loss=[0.31225184 0.35631126], train_acc=[0.8962 0.881 ]
86/100: weight=tensor([0.6454, 0.7638], device='cuda:0', requires_grad=True) train_loss=[0.31199178 0.35237998], train_acc=[0.8961 0.883 ]
88/100: weight=tensor([0.6474, 0.7621], device='cuda:0', requires_grad=True) train_loss=[0.3073201 0.3628986], train_acc=[0.89925 0.88065]
90/100: weight=tensor([0.7002, 0.7139], device='cuda:0', requires_grad=True) train_loss=[0.31896222 0.3562041 ], train_acc=[0.8953  0.88155]
92/100: weight=tensor([0.6668, 0.7453], device='cuda:0', requires_grad=True) train_loss=[0.30396307 0.34942624], train_acc=[0.9013  0.88295]
94/100: weight=tensor([0.7315, 0.6819], device='cuda:0', requires_grad=True) train_loss=[0.30923998 0.37383923], train_acc=[0.89865 0.87685]
96/100: weight=tensor([0.6807, 0.7325], device='cuda:0', requires_grad=True) train_loss=[0.3047293  0.36278197], train_acc=[0.8996 0.8776]
98/100: weight=tensor([0.6765, 0.7364], device='cuda:0', requires_grad=True) train_loss=[0.32365954 0.3522021 ], train_acc=[0.8925 0.8851]
100/100: weight=tensor([0.7129, 0.7013], device='cuda:0', requires_grad=True) train_loss=[0.30418566 0.36383802], train_acc=[0.89905 0.87805]
**** Time taken for mnist_4 = 3237.1419570446014
**** Time taken for mnist = 18706.664781570435
loading dataset fashion
==>>> total trainning batch number: 469
==>>> total testing batch number: 79
1/100: weight=tensor([0.6263, 0.7796], device='cuda:0', requires_grad=True) train_loss=[1.354204  1.4178259], train_acc=[0.49585 0.4841 ]
2/100: weight=tensor([0.6688, 0.7434], device='cuda:0', requires_grad=True) train_loss=[1.118715  1.1518005], train_acc=[0.56935 0.584  ]
4/100: weight=tensor([0.6620, 0.7495], device='cuda:0', requires_grad=True) train_loss=[0.92414045 0.96467894], train_acc=[0.65815 0.6421 ]
6/100: weight=tensor([0.6759, 0.7370], device='cuda:0', requires_grad=True) train_loss=[0.835998  0.8804014], train_acc=[0.674  0.6719]
8/100: weight=tensor([0.7183, 0.6957], device='cuda:0', requires_grad=True) train_loss=[0.77453417 0.8229398 ], train_acc=[0.70905 0.69435]
10/100: weight=tensor([0.7090, 0.7053], device='cuda:0', requires_grad=True) train_loss=[0.76639044 0.7762131 ], train_acc=[0.70865 0.71545]
12/100: weight=tensor([0.7426, 0.6697], device='cuda:0', requires_grad=True) train_loss=[0.73179543 0.7581858 ], train_acc=[0.7245 0.7213]
14/100: weight=tensor([0.6930, 0.7210], device='cuda:0', requires_grad=True) train_loss=[0.7166217  0.75353533], train_acc=[0.72755 0.7203 ]
16/100: weight=tensor([0.7414, 0.6711], device='cuda:0', requires_grad=True) train_loss=[0.6988631  0.72784483], train_acc=[0.73825 0.7329 ]
18/100: weight=tensor([0.7244, 0.6894], device='cuda:0', requires_grad=True) train_loss=[0.68683773 0.7101312 ], train_acc=[0.74315 0.73915]
20/100: weight=tensor([0.6360, 0.7717], device='cuda:0', requires_grad=True) train_loss=[0.66470563 0.69948596], train_acc=[0.75215 0.74   ]
22/100: weight=tensor([0.6623, 0.7493], device='cuda:0', requires_grad=True) train_loss=[0.66805255 0.6929656 ], train_acc=[0.7503 0.7466]
24/100: weight=tensor([0.6672, 0.7449], device='cuda:0', requires_grad=True) train_loss=[0.6474688 0.6717532], train_acc=[0.7588 0.753 ]
26/100: weight=tensor([0.7039, 0.7103], device='cuda:0', requires_grad=True) train_loss=[0.63923234 0.66145265], train_acc=[0.7629 0.7562]
28/100: weight=tensor([0.7381, 0.6747], device='cuda:0', requires_grad=True) train_loss=[0.64550114 0.6754965 ], train_acc=[0.76035 0.7488 ]
30/100: weight=tensor([0.7431, 0.6692], device='cuda:0', requires_grad=True) train_loss=[0.65412134 0.64953256], train_acc=[0.7568 0.7616]
32/100: weight=tensor([0.7327, 0.6805], device='cuda:0', requires_grad=True) train_loss=[0.6145469  0.64325976], train_acc=[0.77235 0.76305]
34/100: weight=tensor([0.7387, 0.6740], device='cuda:0', requires_grad=True) train_loss=[0.60563666 0.63821536], train_acc=[0.77855 0.76105]
36/100: weight=tensor([0.7257, 0.6880], device='cuda:0', requires_grad=True) train_loss=[0.6086206 0.6363421], train_acc=[0.7723  0.77035]
38/100: weight=tensor([0.7004, 0.7137], device='cuda:0', requires_grad=True) train_loss=[0.59802645 0.62782997], train_acc=[0.7826  0.77055]
40/100: weight=tensor([0.7561, 0.6545], device='cuda:0', requires_grad=True) train_loss=[0.5910232 0.6231749], train_acc=[0.7859 0.7665]
42/100: weight=tensor([0.7174, 0.6967], device='cuda:0', requires_grad=True) train_loss=[0.5904363 0.6304324], train_acc=[0.7818  0.77125]
44/100: weight=tensor([0.6907, 0.7231], device='cuda:0', requires_grad=True) train_loss=[0.5838011 0.6053871], train_acc=[0.78345 0.77845]
46/100: weight=tensor([0.6993, 0.7148], device='cuda:0', requires_grad=True) train_loss=[0.5874944 0.6051229], train_acc=[0.7818 0.7782]
48/100: weight=tensor([0.6628, 0.7488], device='cuda:0', requires_grad=True) train_loss=[0.57206273 0.6037719 ], train_acc=[0.7937 0.7777]
50/100: weight=tensor([0.7212, 0.6927], device='cuda:0', requires_grad=True) train_loss=[0.5716506 0.5990723], train_acc=[0.78985 0.7828 ]
52/100: weight=tensor([0.6550, 0.7556], device='cuda:0', requires_grad=True) train_loss=[0.5668674  0.61423576], train_acc=[0.79345 0.76975]
54/100: weight=tensor([0.7140, 0.7001], device='cuda:0', requires_grad=True) train_loss=[0.5675029 0.5982103], train_acc=[0.79035 0.7799 ]
56/100: weight=tensor([0.7305, 0.6829], device='cuda:0', requires_grad=True) train_loss=[0.5577897 0.598246 ], train_acc=[0.79545 0.78115]
58/100: weight=tensor([0.7105, 0.7037], device='cuda:0', requires_grad=True) train_loss=[0.56417936 0.5874193 ], train_acc=[0.7936 0.7874]
60/100: weight=tensor([0.6839, 0.7296], device='cuda:0', requires_grad=True) train_loss=[0.5630178  0.58529603], train_acc=[0.79365 0.78425]
62/100: weight=tensor([0.7255, 0.6883], device='cuda:0', requires_grad=True) train_loss=[0.5627231  0.59377486], train_acc=[0.79365 0.7771 ]
64/100: weight=tensor([0.6901, 0.7238], device='cuda:0', requires_grad=True) train_loss=[0.5502263 0.5789322], train_acc=[0.79665 0.78695]
66/100: weight=tensor([0.7388, 0.6739], device='cuda:0', requires_grad=True) train_loss=[0.55458045 0.58463156], train_acc=[0.7948  0.78585]
68/100: weight=tensor([0.7547, 0.6560], device='cuda:0', requires_grad=True) train_loss=[0.5566996 0.5840434], train_acc=[0.79285 0.78975]
70/100: weight=tensor([0.7142, 0.6999], device='cuda:0', requires_grad=True) train_loss=[0.56662697 0.5715484 ], train_acc=[0.79585 0.79255]
72/100: weight=tensor([0.7421, 0.6703], device='cuda:0', requires_grad=True) train_loss=[0.5437871 0.5736873], train_acc=[0.79915 0.79165]
74/100: weight=tensor([0.7249, 0.6888], device='cuda:0', requires_grad=True) train_loss=[0.5473401 0.5665158], train_acc=[0.80095 0.79195]
76/100: weight=tensor([0.6782, 0.7349], device='cuda:0', requires_grad=True) train_loss=[0.54508555 0.5703042 ], train_acc=[0.7985  0.78965]
78/100: weight=tensor([0.7105, 0.7037], device='cuda:0', requires_grad=True) train_loss=[0.53806806 0.57032555], train_acc=[0.8011 0.7909]
80/100: weight=tensor([0.7437, 0.6685], device='cuda:0', requires_grad=True) train_loss=[0.5391396 0.5688434], train_acc=[0.8041 0.7924]
82/100: weight=tensor([0.7378, 0.6750], device='cuda:0', requires_grad=True) train_loss=[0.5379372 0.5709667], train_acc=[0.80095 0.79305]
84/100: weight=tensor([0.7009, 0.7133], device='cuda:0', requires_grad=True) train_loss=[0.55986917 0.56793946], train_acc=[0.7917  0.79225]
86/100: weight=tensor([0.7547, 0.6561], device='cuda:0', requires_grad=True) train_loss=[0.5436289 0.5650613], train_acc=[0.79895 0.79525]
88/100: weight=tensor([0.6692, 0.7431], device='cuda:0', requires_grad=True) train_loss=[0.5591105  0.55734587], train_acc=[0.7925 0.7976]
90/100: weight=tensor([0.6686, 0.7436], device='cuda:0', requires_grad=True) train_loss=[0.5269752  0.55903196], train_acc=[0.8067  0.79475]
92/100: weight=tensor([0.6870, 0.7266], device='cuda:0', requires_grad=True) train_loss=[0.5346476 0.5572672], train_acc=[0.8035  0.79755]
94/100: weight=tensor([0.7054, 0.7088], device='cuda:0', requires_grad=True) train_loss=[0.5489424 0.5584058], train_acc=[0.7965  0.79565]
96/100: weight=tensor([0.7019, 0.7123], device='cuda:0', requires_grad=True) train_loss=[0.5362798 0.5581415], train_acc=[0.80345 0.7939 ]
98/100: weight=tensor([0.7087, 0.7055], device='cuda:0', requires_grad=True) train_loss=[0.52265316 0.55678606], train_acc=[0.8082 0.796 ]
100/100: weight=tensor([0.6963, 0.7177], device='cuda:0', requires_grad=True) train_loss=[0.53806317 0.56018037], train_acc=[0.8006  0.79435]
**** Time taken for fashion_0 = 3239.679131746292
loading dataset fashion
==>>> total trainning batch number: 469
==>>> total testing batch number: 79
1/100: weight=tensor([0.7007, 0.7134], device='cuda:0', requires_grad=True) train_loss=[1.3485117 1.4177027], train_acc=[0.50425 0.4648 ]
2/100: weight=tensor([0.6611, 0.7503], device='cuda:0', requires_grad=True) train_loss=[1.0741612 1.1658016], train_acc=[0.6046 0.5637]
4/100: weight=tensor([0.6623, 0.7493], device='cuda:0', requires_grad=True) train_loss=[0.9389167 0.9951014], train_acc=[0.65215 0.63255]
6/100: weight=tensor([0.6927, 0.7212], device='cuda:0', requires_grad=True) train_loss=[0.88741505 0.90353936], train_acc=[0.673  0.6679]
8/100: weight=tensor([0.6416, 0.7670], device='cuda:0', requires_grad=True) train_loss=[0.8083181  0.84123814], train_acc=[0.7051  0.68745]
10/100: weight=tensor([0.7143, 0.6999], device='cuda:0', requires_grad=True) train_loss=[0.78546065 0.8143058 ], train_acc=[0.70705 0.69655]
12/100: weight=tensor([0.6629, 0.7487], device='cuda:0', requires_grad=True) train_loss=[0.763283  0.7590741], train_acc=[0.7197 0.7229]
14/100: weight=tensor([0.6591, 0.7521], device='cuda:0', requires_grad=True) train_loss=[0.73170394 0.73094743], train_acc=[0.7304  0.73105]
16/100: weight=tensor([0.6664, 0.7456], device='cuda:0', requires_grad=True) train_loss=[0.7235176 0.7088108], train_acc=[0.7326 0.7394]
18/100: weight=tensor([0.6386, 0.7695], device='cuda:0', requires_grad=True) train_loss=[0.6936009 0.7027426], train_acc=[0.74785 0.7435 ]
20/100: weight=tensor([0.6735, 0.7392], device='cuda:0', requires_grad=True) train_loss=[0.6772991 0.7020116], train_acc=[0.75265 0.74085]
22/100: weight=tensor([0.6611, 0.7503], device='cuda:0', requires_grad=True) train_loss=[0.66884965 0.6831777 ], train_acc=[0.7557  0.75265]
24/100: weight=tensor([0.6519, 0.7583], device='cuda:0', requires_grad=True) train_loss=[0.65628505 0.6797187 ], train_acc=[0.7582  0.74765]
26/100: weight=tensor([0.6993, 0.7148], device='cuda:0', requires_grad=True) train_loss=[0.6531545 0.6640357], train_acc=[0.75775 0.75705]
28/100: weight=tensor([0.7087, 0.7055], device='cuda:0', requires_grad=True) train_loss=[0.65557736 0.655586  ], train_acc=[0.7633  0.76375]
30/100: weight=tensor([0.6677, 0.7444], device='cuda:0', requires_grad=True) train_loss=[0.6451042 0.6430924], train_acc=[0.7612  0.76565]
32/100: weight=tensor([0.6746, 0.7382], device='cuda:0', requires_grad=True) train_loss=[0.62867427 0.62983704], train_acc=[0.76965 0.7707 ]
34/100: weight=tensor([0.7213, 0.6926], device='cuda:0', requires_grad=True) train_loss=[0.6252667 0.6321382], train_acc=[0.77345 0.7695 ]
36/100: weight=tensor([0.6523, 0.7580], device='cuda:0', requires_grad=True) train_loss=[0.62238246 0.6186632 ], train_acc=[0.7735 0.7754]
38/100: weight=tensor([0.6780, 0.7350], device='cuda:0', requires_grad=True) train_loss=[0.61235994 0.62362283], train_acc=[0.778   0.77385]
40/100: weight=tensor([0.6754, 0.7374], device='cuda:0', requires_grad=True) train_loss=[0.61267704 0.6568367 ], train_acc=[0.7758  0.76055]
42/100: weight=tensor([0.6851, 0.7285], device='cuda:0', requires_grad=True) train_loss=[0.6061721 0.6120024], train_acc=[0.77865 0.77835]
44/100: weight=tensor([0.7162, 0.6979], device='cuda:0', requires_grad=True) train_loss=[0.59827733 0.61508304], train_acc=[0.7822 0.775 ]
46/100: weight=tensor([0.6641, 0.7476], device='cuda:0', requires_grad=True) train_loss=[0.6095263 0.6042578], train_acc=[0.7767  0.78155]
48/100: weight=tensor([0.6671, 0.7450], device='cuda:0', requires_grad=True) train_loss=[0.59518963 0.6125396 ], train_acc=[0.78285 0.77815]
50/100: weight=tensor([0.7018, 0.7124], device='cuda:0', requires_grad=True) train_loss=[0.59365636 0.59838784], train_acc=[0.78635 0.78355]
52/100: weight=tensor([0.7128, 0.7014], device='cuda:0', requires_grad=True) train_loss=[0.5911904 0.5990455], train_acc=[0.7839  0.78375]
54/100: weight=tensor([0.7067, 0.7075], device='cuda:0', requires_grad=True) train_loss=[0.5896855 0.5956654], train_acc=[0.78745 0.7827 ]
56/100: weight=tensor([0.7028, 0.7114], device='cuda:0', requires_grad=True) train_loss=[0.59141845 0.59520274], train_acc=[0.7836 0.7842]
58/100: weight=tensor([0.6538, 0.7567], device='cuda:0', requires_grad=True) train_loss=[0.5802022 0.5894928], train_acc=[0.7883 0.7871]
60/100: weight=tensor([0.6905, 0.7233], device='cuda:0', requires_grad=True) train_loss=[0.58410877 0.59245706], train_acc=[0.78585 0.78565]
62/100: weight=tensor([0.6908, 0.7230], device='cuda:0', requires_grad=True) train_loss=[0.5820906 0.6403211], train_acc=[0.7868  0.75845]
64/100: weight=tensor([0.6852, 0.7283], device='cuda:0', requires_grad=True) train_loss=[0.59272295 0.5947487 ], train_acc=[0.7864  0.78355]
66/100: weight=tensor([0.6838, 0.7297], device='cuda:0', requires_grad=True) train_loss=[0.57596403 0.58115226], train_acc=[0.7899 0.7884]
68/100: weight=tensor([0.6532, 0.7572], device='cuda:0', requires_grad=True) train_loss=[0.58113027 0.58441347], train_acc=[0.78505 0.79115]
70/100: weight=tensor([0.6550, 0.7557], device='cuda:0', requires_grad=True) train_loss=[0.5802046  0.57838315], train_acc=[0.78465 0.79205]
72/100: weight=tensor([0.6720, 0.7405], device='cuda:0', requires_grad=True) train_loss=[0.5819148 0.5787244], train_acc=[0.78685 0.7899 ]
74/100: weight=tensor([0.6762, 0.7367], device='cuda:0', requires_grad=True) train_loss=[0.58357036 0.5932701 ], train_acc=[0.7875 0.7808]
76/100: weight=tensor([0.6498, 0.7601], device='cuda:0', requires_grad=True) train_loss=[0.5759277  0.57251006], train_acc=[0.78875 0.793  ]
78/100: weight=tensor([0.6654, 0.7465], device='cuda:0', requires_grad=True) train_loss=[0.5883123 0.575033 ], train_acc=[0.78355 0.7908 ]
80/100: weight=tensor([0.6997, 0.7144], device='cuda:0', requires_grad=True) train_loss=[0.56187    0.57137495], train_acc=[0.7939 0.7946]
82/100: weight=tensor([0.6907, 0.7231], device='cuda:0', requires_grad=True) train_loss=[0.5698628 0.5764368], train_acc=[0.7895 0.7888]
84/100: weight=tensor([0.6989, 0.7152], device='cuda:0', requires_grad=True) train_loss=[0.5723289 0.5738696], train_acc=[0.79145 0.7929 ]
86/100: weight=tensor([0.7178, 0.6963], device='cuda:0', requires_grad=True) train_loss=[0.56010175 0.56937474], train_acc=[0.7975  0.79415]
88/100: weight=tensor([0.6860, 0.7276], device='cuda:0', requires_grad=True) train_loss=[0.55884194 0.5653076 ], train_acc=[0.79555 0.79445]
90/100: weight=tensor([0.6839, 0.7295], device='cuda:0', requires_grad=True) train_loss=[0.5643631 0.5698293], train_acc=[0.79415 0.79205]
92/100: weight=tensor([0.6245, 0.7810], device='cuda:0', requires_grad=True) train_loss=[0.5541604  0.56065214], train_acc=[0.7958 0.7974]
94/100: weight=tensor([0.6795, 0.7337], device='cuda:0', requires_grad=True) train_loss=[0.55342406 0.5597841 ], train_acc=[0.79675 0.7975 ]
96/100: weight=tensor([0.6732, 0.7394], device='cuda:0', requires_grad=True) train_loss=[0.5585665  0.56112486], train_acc=[0.79595 0.79555]
98/100: weight=tensor([0.6612, 0.7502], device='cuda:0', requires_grad=True) train_loss=[0.5503012  0.56024045], train_acc=[0.7984 0.7969]
100/100: weight=tensor([0.6787, 0.7344], device='cuda:0', requires_grad=True) train_loss=[0.5550208  0.56280804], train_acc=[0.80005 0.79695]
**** Time taken for fashion_1 = 3239.546348810196
loading dataset fashion
==>>> total trainning batch number: 469
==>>> total testing batch number: 79
1/100: weight=tensor([0.8080, 0.5892], device='cuda:0', requires_grad=True) train_loss=[1.2522537 1.3945509], train_acc=[0.5396  0.51025]
2/100: weight=tensor([0.7299, 0.6836], device='cuda:0', requires_grad=True) train_loss=[1.0105121 1.0833963], train_acc=[0.6222  0.60945]
4/100: weight=tensor([0.7395, 0.6731], device='cuda:0', requires_grad=True) train_loss=[0.8792371  0.92111874], train_acc=[0.6683 0.6635]
6/100: weight=tensor([0.6820, 0.7314], device='cuda:0', requires_grad=True) train_loss=[0.8255879  0.85931456], train_acc=[0.6878  0.68555]
8/100: weight=tensor([0.6305, 0.7762], device='cuda:0', requires_grad=True) train_loss=[0.80869573 0.79801977], train_acc=[0.6917  0.70435]
10/100: weight=tensor([0.6981, 0.7160], device='cuda:0', requires_grad=True) train_loss=[0.7568125  0.76652896], train_acc=[0.71315 0.71525]
12/100: weight=tensor([0.7084, 0.7058], device='cuda:0', requires_grad=True) train_loss=[0.7279576  0.75263405], train_acc=[0.7248 0.7231]
14/100: weight=tensor([0.6906, 0.7232], device='cuda:0', requires_grad=True) train_loss=[0.74220324 0.757523  ], train_acc=[0.7195  0.71655]
16/100: weight=tensor([0.7113, 0.7029], device='cuda:0', requires_grad=True) train_loss=[0.74818593 0.7156748 ], train_acc=[0.7185 0.7346]
18/100: weight=tensor([0.6933, 0.7206], device='cuda:0', requires_grad=True) train_loss=[0.6951269 0.7008981], train_acc=[0.7378 0.7354]
20/100: weight=tensor([0.6696, 0.7427], device='cuda:0', requires_grad=True) train_loss=[0.68499464 0.6839685 ], train_acc=[0.7411  0.74625]
22/100: weight=tensor([0.6856, 0.7280], device='cuda:0', requires_grad=True) train_loss=[0.67631185 0.6791735 ], train_acc=[0.74335 0.74365]
