Script started.
loading dataset mnist
==>>> total trainning batch number: 469
==>>> total testing batch number: 79
1/100: train_loss=[1.0339385 1.1985588], train_acc=[0.65775 0.5929 ]
64/100: train_loss=[0.5415317 0.5671292], train_acc=[0.801 0.791]
66/100: train_loss=[0.5394839  0.57694745], train_acc=[0.8015 0.7883]
68/100: train_loss=[0.532742   0.56226087], train_acc=[0.80405 0.7955 ]
70/100: train_loss=[0.5315464  0.58059895], train_acc=[0.804   0.79095]
72/100: train_loss=[0.52727675 0.5645118 ], train_acc=[0.8061  0.79645]
74/100: train_loss=[0.5384851 0.5622965], train_acc=[0.80315 0.79605]
76/100: train_loss=[0.52525514 0.5613077 ], train_acc=[0.80585 0.79235]
78/100: train_loss=[0.5227968 0.5528172], train_acc=[0.8091  0.79815]
80/100: train_loss=[0.53696626 0.5655485 ], train_acc=[0.80205 0.7931 ]
82/100: train_loss=[0.52186036 0.58149356], train_acc=[0.80925 0.7922 ]
84/100: train_loss=[0.5248875 0.5635016], train_acc=[0.8072 0.7949]
86/100: train_loss=[0.52531433 0.5486913 ], train_acc=[0.8082 0.7983]
88/100: train_loss=[0.530963   0.55746126], train_acc=[0.8053  0.79705]
90/100: train_loss=[0.5253218 0.5594088], train_acc=[0.8064 0.7986]
92/100: train_loss=[0.52855897 0.5528096 ], train_acc=[0.8035  0.79955]
94/100: train_loss=[0.5264362 0.5526936], train_acc=[0.80635 0.7956 ]
96/100: train_loss=[0.5292034 0.5548219], train_acc=[0.8051 0.7968]
98/100: train_loss=[0.5163278 0.5466816], train_acc=[0.8106  0.80425]
100/100: train_loss=[0.518194  0.5552788], train_acc=[0.81165 0.7983 ]
**** Time taken for fashion_1 = 2365.857157230377
loading dataset fashion
==>>> total trainning batch number: 469
==>>> total testing batch number: 79
1/100: train_loss=[1.1843326 1.2277656], train_acc=[0.5493 0.5523]
2/100: train_loss=[1.0078402 1.073057 ], train_acc=[0.61745 0.60655]
4/100: train_loss=[0.8975993 0.8989986], train_acc=[0.66095 0.671  ]
6/100: train_loss=[0.8649215  0.94260687], train_acc=[0.66865 0.6579 ]
8/100: train_loss=[0.7957784 0.7820813], train_acc=[0.6953  0.71065]
10/100: train_loss=[0.75176495 0.75753886], train_acc=[0.7189 0.72  ]
12/100: train_loss=[0.7264134 0.7071561], train_acc=[0.72445 0.73965]
14/100: train_loss=[0.73885155 0.7566466 ], train_acc=[0.7212  0.71545]
16/100: train_loss=[0.69512916 0.6804837 ], train_acc=[0.74125 0.7482 ]
18/100: train_loss=[0.6903054  0.67550814], train_acc=[0.74235 0.7512 ]
20/100: train_loss=[0.6694452 0.6616935], train_acc=[0.7509  0.75325]
22/100: train_loss=[0.6654174  0.65617746], train_acc=[0.7499 0.7553]
24/100: train_loss=[0.65300107 0.64060193], train_acc=[0.75565 0.76385]
26/100: train_loss=[0.6873805 0.6953896], train_acc=[0.7395  0.74515]
28/100: train_loss=[0.6267358 0.6354745], train_acc=[0.7644  0.76215]
30/100: train_loss=[0.621442  0.6275979], train_acc=[0.7683 0.7674]
32/100: train_loss=[0.61534643 0.6247435 ], train_acc=[0.76975 0.7649 ]
34/100: train_loss=[0.61656934 0.61461157], train_acc=[0.76895 0.76905]
36/100: train_loss=[0.61316437 0.61460745], train_acc=[0.771   0.77385]
38/100: train_loss=[0.60551476 0.64940774], train_acc=[0.7752  0.75555]
40/100: train_loss=[0.6086171 0.6097101], train_acc=[0.7695 0.7728]
42/100: train_loss=[0.6188157  0.62015486], train_acc=[0.76945 0.76515]
44/100: train_loss=[0.5969687 0.5983278], train_acc=[0.7772 0.7773]
46/100: train_loss=[0.59901994 0.60767156], train_acc=[0.77755 0.7754 ]
48/100: train_loss=[0.5900028 0.5935459], train_acc=[0.77715 0.77985]
50/100: train_loss=[0.58886105 0.5910143 ], train_acc=[0.77855 0.78445]
52/100: train_loss=[0.5967834 0.5948136], train_acc=[0.7778  0.78015]
54/100: train_loss=[0.59361744 0.5999316 ], train_acc=[0.778   0.78335]
56/100: train_loss=[0.59965783 0.5945949 ], train_acc=[0.77595 0.78025]
58/100: train_loss=[0.5921629  0.58279353], train_acc=[0.775   0.78795]
60/100: train_loss=[0.58537334 0.57886297], train_acc=[0.78   0.7882]
62/100: train_loss=[0.58006996 0.5775578 ], train_acc=[0.78465 0.7886 ]
64/100: train_loss=[0.5690088 0.5896688], train_acc=[0.7876  0.78075]
66/100: train_loss=[0.57622266 0.57009375], train_acc=[0.78465 0.78895]
68/100: train_loss=[0.5784853 0.5775786], train_acc=[0.78485 0.78605]
70/100: train_loss=[0.5673995  0.56492585], train_acc=[0.7899  0.79355]
72/100: train_loss=[0.5784005 0.5615428], train_acc=[0.7877  0.79765]
74/100: train_loss=[0.57642174 0.5689797 ], train_acc=[0.78685 0.7934 ]
76/100: train_loss=[0.5671748 0.5746449], train_acc=[0.78925 0.7874 ]
78/100: train_loss=[0.5690299  0.56962323], train_acc=[0.78665 0.79195]
80/100: train_loss=[0.6138671 0.6391089], train_acc=[0.77495 0.75885]
82/100: train_loss=[0.56119907 0.55997306], train_acc=[0.7918  0.79795]
84/100: train_loss=[0.5565522  0.55315286], train_acc=[0.7948  0.79835]
86/100: train_loss=[0.5539626 0.5590464], train_acc=[0.79535 0.79255]
88/100: train_loss=[0.55633086 0.5533519 ], train_acc=[0.79375 0.799  ]
90/100: train_loss=[0.56200624 0.5600732 ], train_acc=[0.7926  0.79435]
92/100: train_loss=[0.57650644 0.5564717 ], train_acc=[0.78865 0.7963 ]
94/100: train_loss=[0.5495341  0.54937375], train_acc=[0.7976 0.7989]
96/100: train_loss=[0.55074203 0.5604606 ], train_acc=[0.7982 0.7945]
98/100: train_loss=[0.5550283  0.56162477], train_acc=[0.7941 0.7946]
100/100: train_loss=[0.54569924 0.55088073], train_acc=[0.79835 0.79915]
**** Time taken for fashion_2 = 2368.5363008975983
loading dataset fashion
==>>> total trainning batch number: 469
==>>> total testing batch number: 79
1/100: train_loss=[1.0638866 1.1440307], train_acc=[0.6091  0.57555]
2/100: train_loss=[0.96429425 1.005464  ], train_acc=[0.63955 0.61935]
4/100: train_loss=[0.86175925 0.8664457 ], train_acc=[0.6815  0.68435]
6/100: train_loss=[0.8008968 0.7864527], train_acc=[0.7057  0.71075]
8/100: train_loss=[0.74881756 0.75095665], train_acc=[0.72375 0.72435]
10/100: train_loss=[0.7138689  0.72069454], train_acc=[0.73735 0.7373 ]
12/100: train_loss=[0.6864916  0.68814266], train_acc=[0.74595 0.7524 ]
14/100: train_loss=[0.6596854  0.68228364], train_acc=[0.76165 0.7459 ]
16/100: train_loss=[0.66674304 0.65824187], train_acc=[0.75775 0.7627 ]
18/100: train_loss=[0.66529405 0.6410068 ], train_acc=[0.7577  0.76575]
20/100: train_loss=[0.634223   0.64300287], train_acc=[0.76825 0.7652 ]
22/100: train_loss=[0.61807156 0.62155145], train_acc=[0.77255 0.77225]
24/100: train_loss=[0.61886907 0.61521506], train_acc=[0.7738  0.77675]
26/100: train_loss=[0.6094065  0.61985403], train_acc=[0.77505 0.7767 ]
28/100: train_loss=[0.6074836  0.61957437], train_acc=[0.77785 0.76915]
30/100: train_loss=[0.5924843 0.6116467], train_acc=[0.7832  0.77765]
32/100: train_loss=[0.58450454 0.6009912 ], train_acc=[0.7843 0.7812]
34/100: train_loss=[0.5897409 0.5931022], train_acc=[0.78365 0.7822 ]
36/100: train_loss=[0.58358485 0.5802708 ], train_acc=[0.78265 0.7875 ]
38/100: train_loss=[0.57377774 0.58470356], train_acc=[0.7901  0.78885]
40/100: train_loss=[0.5695936  0.58081806], train_acc=[0.791  0.7894]
42/100: train_loss=[0.56637454 0.5784207 ], train_acc=[0.79055 0.7893 ]
44/100: train_loss=[0.5651551 0.5746833], train_acc=[0.79335 0.7882 ]
46/100: train_loss=[0.55959517 0.5857044 ], train_acc=[0.796  0.7847]
48/100: train_loss=[0.5518246 0.5682427], train_acc=[0.7991  0.79355]
50/100: train_loss=[0.5593581 0.5619513], train_acc=[0.7957 0.7929]
52/100: train_loss=[0.56536657 0.5819062 ], train_acc=[0.7927  0.79115]
54/100: train_loss=[0.5515777 0.5646552], train_acc=[0.79775 0.7906 ]
56/100: train_loss=[0.54187787 0.562462  ], train_acc=[0.80055 0.79465]
58/100: train_loss=[0.54337233 0.5555951 ], train_acc=[0.7996  0.79735]
60/100: train_loss=[0.54628766 0.55155915], train_acc=[0.80135 0.79995]
62/100: train_loss=[0.5559074  0.55882865], train_acc=[0.79435 0.7972 ]
64/100: train_loss=[0.53606063 0.5562395 ], train_acc=[0.8038 0.7941]
66/100: train_loss=[0.5521914 0.5521713], train_acc=[0.7969 0.7974]
68/100: train_loss=[0.53150564 0.5592105 ], train_acc=[0.8058  0.79575]
70/100: train_loss=[0.54157495 0.5550918 ], train_acc=[0.8004  0.79625]
72/100: train_loss=[0.53249836 0.5471451 ], train_acc=[0.8039  0.79855]
74/100: train_loss=[0.5321909  0.55343664], train_acc=[0.8043  0.79755]
76/100: train_loss=[0.5287495 0.5383585], train_acc=[0.8087  0.80265]
78/100: train_loss=[0.5265675 0.5366161], train_acc=[0.80975 0.8037 ]
80/100: train_loss=[0.5264371 0.5378499], train_acc=[0.8066  0.80315]
82/100: train_loss=[0.5268866 0.5344506], train_acc=[0.80645 0.8032 ]
84/100: train_loss=[0.5303769 0.5386962], train_acc=[0.8074  0.80425]
86/100: train_loss=[0.52392584 0.54985434], train_acc=[0.80685 0.7985 ]
88/100: train_loss=[0.5270749  0.54447705], train_acc=[0.8079 0.798 ]
90/100: train_loss=[0.5218587 0.5511275], train_acc=[0.806  0.7959]
92/100: train_loss=[0.5334765 0.5341188], train_acc=[0.8044  0.80605]
94/100: train_loss=[0.53856957 0.55586845], train_acc=[0.80195 0.7982 ]
96/100: train_loss=[0.5277981 0.5408956], train_acc=[0.80825 0.80115]
98/100: train_loss=[0.5369176  0.53676575], train_acc=[0.8035  0.80385]
100/100: train_loss=[0.52129596 0.5375104 ], train_acc=[0.80925 0.80335]
**** Time taken for fashion_3 = 2367.74373459816
loading dataset fashion
==>>> total trainning batch number: 469
==>>> total testing batch number: 79
1/100: train_loss=[1.1292    1.2240534], train_acc=[0.57   0.5408]
2/100: train_loss=[0.94905835 1.0063502 ], train_acc=[0.64085 0.62735]
4/100: train_loss=[0.83375597 0.89253974], train_acc=[0.68595 0.66185]
6/100: train_loss=[0.77797586 0.810294  ], train_acc=[0.71045 0.7009 ]
8/100: train_loss=[0.75861686 0.8715692 ], train_acc=[0.71585 0.66335]
10/100: train_loss=[0.72957814 0.76994216], train_acc=[0.72675 0.71315]
12/100: train_loss=[0.71945184 0.76120377], train_acc=[0.7337  0.72685]
14/100: train_loss=[0.6638688  0.72962886], train_acc=[0.7545  0.72815]
16/100: train_loss=[0.6477393  0.68085265], train_acc=[0.75935 0.74865]
18/100: train_loss=[0.6714557 0.6695694], train_acc=[0.74365 0.7502 ]
20/100: train_loss=[0.63549334 0.6566744 ], train_acc=[0.76395 0.75435]
22/100: train_loss=[0.63590497 0.70174974], train_acc=[0.75755 0.74045]
24/100: train_loss=[0.6522725 0.6402394], train_acc=[0.7535 0.7624]
26/100: train_loss=[0.60564744 0.6323011 ], train_acc=[0.7744  0.76675]
28/100: train_loss=[0.605181   0.63431734], train_acc=[0.7724  0.76745]
30/100: train_loss=[0.59849584 0.6390271 ], train_acc=[0.77545 0.76395]
32/100: train_loss=[0.6084881  0.62925047], train_acc=[0.77485 0.7644 ]
34/100: train_loss=[0.6162084  0.61303085], train_acc=[0.76765 0.77085]
36/100: train_loss=[0.59231865 0.62095165], train_acc=[0.78195 0.76685]
38/100: train_loss=[0.59047544 0.62062323], train_acc=[0.78025 0.7669 ]
40/100: train_loss=[0.61187154 0.6093133 ], train_acc=[0.7725  0.77525]
42/100: train_loss=[0.5734588  0.61445916], train_acc=[0.7868 0.7718]
44/100: train_loss=[0.57320964 0.6059129 ], train_acc=[0.79015 0.77565]
46/100: train_loss=[0.5646251 0.5882244], train_acc=[0.79025 0.78335]
48/100: train_loss=[0.5791381 0.6060477], train_acc=[0.7872 0.7748]
50/100: train_loss=[0.5754408 0.5941202], train_acc=[0.7878 0.7804]
52/100: train_loss=[0.5742408  0.58719003], train_acc=[0.78775 0.78585]
54/100: train_loss=[0.5625102  0.58749956], train_acc=[0.79245 0.78075]
56/100: train_loss=[0.5693847 0.5881057], train_acc=[0.78635 0.7792 ]
58/100: train_loss=[0.55626684 0.5807003 ], train_acc=[0.795  0.7849]
60/100: train_loss=[0.563518   0.57956463], train_acc=[0.7943 0.7878]
62/100: train_loss=[0.5589423  0.58723074], train_acc=[0.79305 0.7862 ]
64/100: train_loss=[0.565938   0.58264583], train_acc=[0.78885 0.7813 ]
66/100: train_loss=[0.5481747 0.5755709], train_acc=[0.79795 0.7882 ]
68/100: train_loss=[0.56628084 0.58560914], train_acc=[0.78555 0.7808 ]
70/100: train_loss=[0.5653712 0.5881532], train_acc=[0.79535 0.78405]
72/100: train_loss=[0.5597207 0.5817674], train_acc=[0.79455 0.784  ]
74/100: train_loss=[0.5610664 0.5849602], train_acc=[0.79135 0.78475]
76/100: train_loss=[0.5457977 0.5854245], train_acc=[0.7974  0.78245]
78/100: train_loss=[0.54604256 0.56474054], train_acc=[0.80015 0.7878 ]
80/100: train_loss=[0.55011934 0.57434887], train_acc=[0.7935 0.7825]
82/100: train_loss=[0.54963326 0.56595856], train_acc=[0.7978 0.7928]
84/100: train_loss=[0.5363283  0.56735885], train_acc=[0.8035  0.79165]
86/100: train_loss=[0.53813    0.58271396], train_acc=[0.80245 0.78315]
88/100: train_loss=[0.55072325 0.575414  ], train_acc=[0.7998  0.78855]
90/100: train_loss=[0.5382382 0.571102 ], train_acc=[0.8011  0.78765]
92/100: train_loss=[0.5468662 0.5650055], train_acc=[0.79755 0.78925]
94/100: train_loss=[0.54366916 0.5661455 ], train_acc=[0.80035 0.7915 ]
96/100: train_loss=[0.5410991 0.5657209], train_acc=[0.80055 0.78865]
98/100: train_loss=[0.54609835 0.5816381 ], train_acc=[0.79695 0.78365]
100/100: train_loss=[0.53454113 0.57014763], train_acc=[0.801   0.78795]
**** Time taken for fashion_4 = 2367.6393010616302
**** Time taken for fashion = 11836.28436422348
loading dataset fashion_and_mnist
==>>> total trainning batch number: 469
==>>> total testing batch number: 79
1/100: train_loss=[1.0770065  0.97683585], train_acc=[0.6411  0.63675]
2/100: train_loss=[0.8186703 0.8394951], train_acc=[0.7284  0.69505]
4/100: train_loss=[0.6220063 0.7457792], train_acc=[0.7946  0.72355]
6/100: train_loss=[0.63599   0.7556156], train_acc=[0.7913 0.7191]
8/100: train_loss=[0.44176435 0.6810361 ], train_acc=[0.857  0.7461]
10/100: train_loss=[0.41523057 0.64173716], train_acc=[0.86575 0.75815]
12/100: train_loss=[0.39054993 0.63103867], train_acc=[0.8745 0.7656]
14/100: train_loss=[0.38732347 0.6164914 ], train_acc=[0.8771 0.7748]
16/100: train_loss=[0.34802765 0.58813417], train_acc=[0.89045 0.7835 ]
18/100: train_loss=[0.33622795 0.5787071 ], train_acc=[0.89185 0.7869 ]
20/100: train_loss=[0.32911158 0.58126044], train_acc=[0.89615 0.7894 ]
22/100: train_loss=[0.3005399 0.5637999], train_acc=[0.90665 0.7945 ]
24/100: train_loss=[0.29180837 0.5604413 ], train_acc=[0.9075 0.7941]
26/100: train_loss=[0.30207598 0.5506741 ], train_acc=[0.90285 0.79915]
28/100: train_loss=[0.28113565 0.56427735], train_acc=[0.911   0.79285]
30/100: train_loss=[0.2722209  0.54482645], train_acc=[0.9125 0.8021]
32/100: train_loss=[0.26851875 0.5259562 ], train_acc=[0.91365 0.8072 ]
34/100: train_loss=[0.28853047 0.5328989 ], train_acc=[0.90865 0.80625]
36/100: train_loss=[0.2572029 0.537332 ], train_acc=[0.916  0.8015]
38/100: train_loss=[0.2526086 0.5139443], train_acc=[0.9194  0.81255]
40/100: train_loss=[0.28148776 0.5877534 ], train_acc=[0.90835 0.7832 ]
42/100: train_loss=[0.24115421 0.51158404], train_acc=[0.92185 0.8132 ]
44/100: train_loss=[0.23347706 0.5052734 ], train_acc=[0.92555 0.81805]
46/100: train_loss=[0.2477222 0.5332633], train_acc=[0.91965 0.8056 ]
48/100: train_loss=[0.23605627 0.5087183 ], train_acc=[0.92425 0.8149 ]
50/100: train_loss=[0.23063114 0.5085096 ], train_acc=[0.9266  0.81045]
52/100: train_loss=[0.22407745 0.5024077 ], train_acc=[0.92845 0.81185]
54/100: train_loss=[0.22757238 0.500239  ], train_acc=[0.9261 0.8151]
56/100: train_loss=[0.2216898 0.5077331], train_acc=[0.9297 0.8091]
58/100: train_loss=[0.22178446 0.479481  ], train_acc=[0.9289 0.8245]
60/100: train_loss=[0.22222741 0.4817644 ], train_acc=[0.92915 0.82265]
62/100: train_loss=[0.211701   0.49533805], train_acc=[0.93125 0.81505]
64/100: train_loss=[0.21025237 0.48417926], train_acc=[0.933   0.82275]
66/100: train_loss=[0.22176248 0.4831183 ], train_acc=[0.92915 0.82255]
68/100: train_loss=[0.22313292 0.51278293], train_acc=[0.92925 0.81045]
70/100: train_loss=[0.21204391 0.48032835], train_acc=[0.9336 0.8242]
72/100: train_loss=[0.2610429 0.5082511], train_acc=[0.9175 0.8102]
74/100: train_loss=[0.2142751 0.4693199], train_acc=[0.93105 0.82745]
76/100: train_loss=[0.22630538 0.47840255], train_acc=[0.92635 0.82205]
78/100: train_loss=[0.21850978 0.4704132 ], train_acc=[0.93135 0.8271 ]
80/100: train_loss=[0.21370684 0.48014322], train_acc=[0.9317 0.8252]
82/100: train_loss=[0.20300947 0.47488597], train_acc=[0.93555 0.8243 ]
84/100: train_loss=[0.20968802 0.48914173], train_acc=[0.9339  0.81985]
86/100: train_loss=[0.20352529 0.48044193], train_acc=[0.93585 0.8246 ]
88/100: train_loss=[0.20622498 0.46874896], train_acc=[0.935   0.82945]
90/100: train_loss=[0.20778434 0.46481618], train_acc=[0.9334 0.83  ]
92/100: train_loss=[0.23761044 0.46740684], train_acc=[0.92365 0.8278 ]
94/100: train_loss=[0.20932312 0.45769483], train_acc=[0.9322 0.8315]
96/100: train_loss=[0.20678774 0.4635767 ], train_acc=[0.9345 0.8306]
98/100: train_loss=[0.22188567 0.461465  ], train_acc=[0.9291 0.8321]
100/100: train_loss=[0.2001922 0.4767252], train_acc=[0.93775 0.8262 ]
**** Time taken for fashion_and_mnist_0 = 2367.576138496399
loading dataset fashion_and_mnist
==>>> total trainning batch number: 469
==>>> total testing batch number: 79
1/100: train_loss=[1.4822433 1.1009587], train_acc=[0.49475 0.58695]
2/100: train_loss=[1.1246194 0.9005007], train_acc=[0.62195 0.6661 ]
4/100: train_loss=[0.7882512  0.78879875], train_acc=[0.73425 0.7149 ]
6/100: train_loss=[0.69745743 0.7290743 ], train_acc=[0.76595 0.7308 ]
8/100: train_loss=[0.7741661 0.7556726], train_acc=[0.74015 0.72185]
10/100: train_loss=[0.51188195 0.67963713], train_acc=[0.8319 0.7495]
12/100: train_loss=[0.47034803 0.63463306], train_acc=[0.84545 0.76625]
14/100: train_loss=[0.4481116 0.6377932], train_acc=[0.85355 0.7668 ]
16/100: train_loss=[0.41829967 0.60121447], train_acc=[0.86505 0.77975]
18/100: train_loss=[0.42590573 0.5954924 ], train_acc=[0.8609  0.78155]
20/100: train_loss=[0.43807134 0.6073869 ], train_acc=[0.85505 0.77635]
22/100: train_loss=[0.3669403  0.58273464], train_acc=[0.88255 0.78475]
24/100: train_loss=[0.37331668 0.5809949 ], train_acc=[0.8777  0.78625]
26/100: train_loss=[0.52065915 0.57945   ], train_acc=[0.83455 0.7847 ]
28/100: train_loss=[0.33529264 0.55765325], train_acc=[0.893  0.7964]
30/100: train_loss=[0.34135425 0.5567105 ], train_acc=[0.88845 0.7954 ]
32/100: train_loss=[0.3534503 0.5777989], train_acc=[0.8851  0.78565]
34/100: train_loss=[0.32931587 0.56067157], train_acc=[0.8938 0.7927]
36/100: train_loss=[0.35412627 0.55553687], train_acc=[0.8846 0.7964]
38/100: train_loss=[0.3361141  0.53893554], train_acc=[0.89125 0.8041 ]
40/100: train_loss=[0.3302468 0.5298424], train_acc=[0.89065 0.80605]
42/100: train_loss=[0.34209594 0.5344708 ], train_acc=[0.88775 0.8053 ]
44/100: train_loss=[0.31161693 0.5300178 ], train_acc=[0.89835 0.8061 ]
46/100: train_loss=[0.3189903  0.54710615], train_acc=[0.8946 0.8   ]
48/100: train_loss=[0.2891019  0.51510304], train_acc=[0.90645 0.8142 ]
50/100: train_loss=[0.330821   0.51630974], train_acc=[0.89285 0.8127 ]
52/100: train_loss=[0.2997937  0.50904936], train_acc=[0.9023  0.81555]
54/100: train_loss=[0.2884424 0.5223682], train_acc=[0.90645 0.80715]
56/100: train_loss=[0.27520138 0.50468594], train_acc=[0.91165 0.8148 ]
58/100: train_loss=[0.28161538 0.5253926 ], train_acc=[0.9081  0.81005]
60/100: train_loss=[0.27540356 0.5374796 ], train_acc=[0.91205 0.80355]
62/100: train_loss=[0.270536   0.51136184], train_acc=[0.91175 0.81285]
64/100: train_loss=[0.27594757 0.5038228 ], train_acc=[0.9099  0.81695]
66/100: train_loss=[0.29850924 0.5097831 ], train_acc=[0.9033 0.813 ]
68/100: train_loss=[0.26095006 0.5012248 ], train_acc=[0.91705 0.8177 ]
70/100: train_loss=[0.28469414 0.49644178], train_acc=[0.9059  0.81765]
72/100: train_loss=[0.26825017 0.50220156], train_acc=[0.9126 0.8176]
74/100: train_loss=[0.25971627 0.5030844 ], train_acc=[0.91675 0.81695]
76/100: train_loss=[0.26966384 0.5413301 ], train_acc=[0.9128 0.7997]
78/100: train_loss=[0.25736827 0.5045024 ], train_acc=[0.9184 0.8153]
80/100: train_loss=[0.40351993 0.5770483 ], train_acc=[0.87245 0.77875]
82/100: train_loss=[0.25131023 0.50198346], train_acc=[0.91945 0.8147 ]
84/100: train_loss=[0.26810703 0.49028668], train_acc=[0.91255 0.81975]
86/100: train_loss=[0.24922007 0.49062726], train_acc=[0.9212 0.8215]
88/100: train_loss=[0.24399278 0.48496905], train_acc=[0.92175 0.82415]
90/100: train_loss=[0.26250923 0.4923894 ], train_acc=[0.9157 0.8209]
92/100: train_loss=[0.24039263 0.48648068], train_acc=[0.9237 0.8228]
94/100: train_loss=[0.2494419 0.4856681], train_acc=[0.92005 0.82095]
96/100: train_loss=[0.25795057 0.49515826], train_acc=[0.91655 0.81905]
98/100: train_loss=[0.27188602 0.49625224], train_acc=[0.91315 0.81945]
100/100: train_loss=[0.27298945 0.49591562], train_acc=[0.9121 0.8159]
**** Time taken for fashion_and_mnist_1 = 2231.007812976837
loading dataset fashion_and_mnist
==>>> total trainning batch number: 469
==>>> total testing batch number: 79
1/100: train_loss=[1.1296122 0.976342 ], train_acc=[0.6178  0.64125]
2/100: train_loss=[0.87092555 0.84000194], train_acc=[0.71085 0.68505]
4/100: train_loss=[0.657713  0.7209293], train_acc=[0.78465 0.73055]
6/100: train_loss=[0.6083027 0.6733256], train_acc=[0.79915 0.74975]
8/100: train_loss=[0.5164122  0.65671945], train_acc=[0.8324 0.7531]
10/100: train_loss=[0.47165033 0.64925057], train_acc=[0.84835 0.76135]
12/100: train_loss=[0.45382783 0.6144487 ], train_acc=[0.85165 0.774  ]
14/100: train_loss=[0.4089676  0.60957193], train_acc=[0.8688 0.7775]
16/100: train_loss=[0.3899086  0.58529174], train_acc=[0.87325 0.78445]
18/100: train_loss=[0.40998778 0.58213335], train_acc=[0.8652  0.78695]
20/100: train_loss=[0.3658479  0.57195014], train_acc=[0.8824  0.78665]
22/100: train_loss=[0.35563633 0.5652213 ], train_acc=[0.884  0.7907]
24/100: train_loss=[0.3501594  0.55834323], train_acc=[0.88825 0.79595]
26/100: train_loss=[0.35146812 0.5534876 ], train_acc=[0.8869 0.7971]
28/100: train_loss=[0.33114624 0.548854  ], train_acc=[0.8942 0.7963]
30/100: train_loss=[0.32193252 0.54134506], train_acc=[0.8974  0.80195]
32/100: train_loss=[0.32747188 0.5307727 ], train_acc=[0.89395 0.80685]
34/100: train_loss=[0.34282288 0.53529716], train_acc=[0.89095 0.80195]
36/100: train_loss=[0.35458547 0.5292347 ], train_acc=[0.88425 0.80625]
38/100: train_loss=[0.31894037 0.5357893 ], train_acc=[0.8959  0.80485]
40/100: train_loss=[0.30872056 0.5142477 ], train_acc=[0.9005 0.8105]
42/100: train_loss=[0.31149268 0.5171077 ], train_acc=[0.9012  0.81135]
44/100: train_loss=[0.30755562 0.51124537], train_acc=[0.901  0.8137]
46/100: train_loss=[0.30530316 0.52320343], train_acc=[0.90195 0.80555]
48/100: train_loss=[0.2846031 0.5083879], train_acc=[0.91035 0.81475]
50/100: train_loss=[0.2850313  0.50010675], train_acc=[0.90875 0.8148 ]
52/100: train_loss=[0.28308314 0.5055012 ], train_acc=[0.911   0.81395]
54/100: train_loss=[0.27556187 0.504548  ], train_acc=[0.9151  0.81355]
56/100: train_loss=[0.2714406  0.49728572], train_acc=[0.9145  0.81735]
58/100: train_loss=[0.27561873 0.503071  ], train_acc=[0.91515 0.81515]
60/100: train_loss=[0.26774696 0.50895035], train_acc=[0.91575 0.8129 ]
62/100: train_loss=[0.28735602 0.50269896], train_acc=[0.90805 0.8137 ]
64/100: train_loss=[0.2878928 0.4923372], train_acc=[0.9097  0.81825]
66/100: train_loss=[0.27172825 0.4919483 ], train_acc=[0.91465 0.8208 ]
68/100: train_loss=[0.26717818 0.48563662], train_acc=[0.9162  0.82205]
70/100: train_loss=[0.26632088 0.48594686], train_acc=[0.91745 0.8188 ]
72/100: train_loss=[0.260802  0.5008098], train_acc=[0.91845 0.8139 ]
74/100: train_loss=[0.27541035 0.51188904], train_acc=[0.91365 0.80965]
76/100: train_loss=[0.27987912 0.49770144], train_acc=[0.9111  0.81885]
78/100: train_loss=[0.28880838 0.50441843], train_acc=[0.9088  0.81735]
80/100: train_loss=[0.30329958 0.51471037], train_acc=[0.90445 0.80815]
82/100: train_loss=[0.2730765 0.4810678], train_acc=[0.91435 0.824  ]
84/100: train_loss=[0.2897365  0.49934158], train_acc=[0.9064 0.8186]
86/100: train_loss=[0.25542524 0.48402768], train_acc=[0.9214 0.8213]
88/100: train_loss=[0.27228752 0.4771779 ], train_acc=[0.9143  0.82475]
90/100: train_loss=[0.25283113 0.47829172], train_acc=[0.92105 0.8238 ]
92/100: train_loss=[0.2555478  0.47919968], train_acc=[0.92085 0.8253 ]
94/100: train_loss=[0.2572521  0.47652924], train_acc=[0.9201  0.82495]
96/100: train_loss=[0.26117066 0.47853318], train_acc=[0.919  0.8262]
98/100: train_loss=[0.25146365 0.4746328 ], train_acc=[0.92155 0.82555]
100/100: train_loss=[0.30160317 0.5183293 ], train_acc=[0.9049 0.8116]
**** Time taken for fashion_and_mnist_2 = 2092.259994029999
loading dataset fashion_and_mnist
==>>> total trainning batch number: 469
==>>> total testing batch number: 79
1/100: train_loss=[1.2089243 1.0003537], train_acc=[0.59565 0.64685]
2/100: train_loss=[0.891671   0.85067356], train_acc=[0.70265 0.696  ]
4/100: train_loss=[0.71456623 0.7318026 ], train_acc=[0.7642  0.72885]
6/100: train_loss=[0.5507858  0.66960645], train_acc=[0.81915 0.75615]
8/100: train_loss=[0.53325653 0.63565695], train_acc=[0.8244  0.76615]
10/100: train_loss=[0.49134934 0.61555344], train_acc=[0.8412 0.7721]
12/100: train_loss=[0.42218718 0.6253777 ], train_acc=[0.8635  0.76665]
14/100: train_loss=[0.4133595  0.60543233], train_acc=[0.86405 0.77645]
16/100: train_loss=[0.37417868 0.5698793 ], train_acc=[0.8819 0.7871]
18/100: train_loss=[0.36430252 0.56442964], train_acc=[0.882 0.79 ]
20/100: train_loss=[0.3517012 0.5510772], train_acc=[0.88815 0.7951 ]
