Script started.
loading dataset mnist
==>>> total trainning batch number: 469
==>>> total testing batch number: 79
1/100: train_loss=[1.3377677 1.5641606], train_acc=[0.5543 0.4623]
64/100: train_loss=[0.57361585 0.5887756 ], train_acc=[0.7886  0.79045]
66/100: train_loss=[0.55984616 0.5696725 ], train_acc=[0.7938 0.7949]
68/100: train_loss=[0.6221797 0.5909449], train_acc=[0.77155 0.7897 ]
70/100: train_loss=[0.58988374 0.62521225], train_acc=[0.7783  0.77655]
72/100: train_loss=[0.540163  0.5571789], train_acc=[0.8011 0.794 ]
74/100: train_loss=[0.5496231 0.5616976], train_acc=[0.79585 0.79745]
76/100: train_loss=[0.5393436 0.5541859], train_acc=[0.8021 0.7984]
78/100: train_loss=[0.54648376 0.5474624 ], train_acc=[0.7985 0.8012]
80/100: train_loss=[0.544501   0.56041634], train_acc=[0.7996  0.79585]
82/100: train_loss=[0.5396624 0.5533962], train_acc=[0.80105 0.80055]
84/100: train_loss=[0.52739245 0.55077934], train_acc=[0.80605 0.80115]
86/100: train_loss=[0.54921764 0.5516522 ], train_acc=[0.79835 0.79915]
88/100: train_loss=[0.5553166  0.59705555], train_acc=[0.79395 0.7852 ]
90/100: train_loss=[0.5286379  0.55826235], train_acc=[0.80495 0.79935]
92/100: train_loss=[0.527527  0.5375916], train_acc=[0.8078  0.80435]
94/100: train_loss=[0.5271364 0.5375218], train_acc=[0.80615 0.8066 ]
96/100: train_loss=[0.55525595 0.5530469 ], train_acc=[0.79775 0.80355]
98/100: train_loss=[0.52154964 0.5456334 ], train_acc=[0.8079  0.80435]
100/100: train_loss=[0.52351826 0.5464667 ], train_acc=[0.8065 0.8034]
**** Time taken for fashion_1 = 3743.3540666103363
loading dataset fashion
==>>> total trainning batch number: 469
==>>> total testing batch number: 79
1/100: train_loss=[1.2203461 1.2968329], train_acc=[0.54895 0.52725]
2/100: train_loss=[1.0016007 1.0969253], train_acc=[0.625   0.59655]
4/100: train_loss=[0.85880446 0.93383867], train_acc=[0.67745 0.6574 ]
6/100: train_loss=[0.80260396 0.8714509 ], train_acc=[0.69975 0.68015]
8/100: train_loss=[0.7693343 0.8523927], train_acc=[0.7081 0.6874]
10/100: train_loss=[0.7479174  0.77979964], train_acc=[0.7181 0.71  ]
12/100: train_loss=[0.7355494  0.79061073], train_acc=[0.7231  0.70725]
14/100: train_loss=[0.6876182  0.72878706], train_acc=[0.74595 0.7291 ]
16/100: train_loss=[0.6896639 0.7237676], train_acc=[0.73885 0.7282 ]
18/100: train_loss=[0.65995836 0.72276866], train_acc=[0.7495  0.73175]
20/100: train_loss=[0.66302145 0.68626654], train_acc=[0.7495 0.746 ]
22/100: train_loss=[0.6305488 0.6940335], train_acc=[0.76415 0.74495]
24/100: train_loss=[0.6236622 0.6638063], train_acc=[0.76315 0.7535 ]
26/100: train_loss=[0.61247855 0.65548885], train_acc=[0.7692  0.75695]
28/100: train_loss=[0.60698724 0.6505114 ], train_acc=[0.77105 0.76335]
30/100: train_loss=[0.58336705 0.6448239 ], train_acc=[0.7799  0.76245]
32/100: train_loss=[0.61553746 0.6399267 ], train_acc=[0.76695 0.7648 ]
34/100: train_loss=[0.58065003 0.6119374 ], train_acc=[0.78485 0.77655]
36/100: train_loss=[0.57132244 0.6190981 ], train_acc=[0.782   0.77315]
38/100: train_loss=[0.5646929 0.6061833], train_acc=[0.7852 0.7795]
40/100: train_loss=[0.5677888  0.60821605], train_acc=[0.78695 0.77705]
42/100: train_loss=[0.5602783 0.6173911], train_acc=[0.78985 0.76975]
44/100: train_loss=[0.5631664 0.5923879], train_acc=[0.78785 0.78405]
46/100: train_loss=[0.5713956 0.609883 ], train_acc=[0.78515 0.77965]
48/100: train_loss=[0.54596525 0.58202124], train_acc=[0.7938 0.7894]
50/100: train_loss=[0.5574764 0.5807258], train_acc=[0.79105 0.7866 ]
52/100: train_loss=[0.5521064 0.5956198], train_acc=[0.79505 0.77875]
54/100: train_loss=[0.54423434 0.58704275], train_acc=[0.7972  0.78355]
56/100: train_loss=[0.5571315 0.5951313], train_acc=[0.7906 0.786 ]
58/100: train_loss=[0.54957217 0.5696358 ], train_acc=[0.7929  0.79455]
60/100: train_loss=[0.53765005 0.5866062 ], train_acc=[0.79815 0.78275]
62/100: train_loss=[0.52980256 0.5617406 ], train_acc=[0.80225 0.79465]
64/100: train_loss=[0.5346536 0.5976623], train_acc=[0.7991  0.78175]
66/100: train_loss=[0.52717435 0.56094056], train_acc=[0.8039  0.79695]
68/100: train_loss=[0.530341   0.56531006], train_acc=[0.80445 0.79405]
70/100: train_loss=[0.5330594 0.5960651], train_acc=[0.80075 0.7864 ]
72/100: train_loss=[0.533657   0.58030605], train_acc=[0.80025 0.7952 ]
74/100: train_loss=[0.5181116 0.5623535], train_acc=[0.80805 0.799  ]
76/100: train_loss=[0.53272593 0.5573107 ], train_acc=[0.80085 0.79735]
78/100: train_loss=[0.524102 0.562797], train_acc=[0.80595 0.79455]
80/100: train_loss=[0.51862353 0.5488781 ], train_acc=[0.80725 0.80105]
82/100: train_loss=[0.51994115 0.55167687], train_acc=[0.8073  0.79915]
84/100: train_loss=[0.51786613 0.5455592 ], train_acc=[0.80655 0.80325]
86/100: train_loss=[0.5280206 0.5647903], train_acc=[0.80215 0.7975 ]
88/100: train_loss=[0.5201559 0.5602254], train_acc=[0.8078 0.7951]
90/100: train_loss=[0.51725435 0.5694727 ], train_acc=[0.8099 0.7908]
92/100: train_loss=[0.5180465  0.55666226], train_acc=[0.80795 0.7956 ]
94/100: train_loss=[0.51282614 0.54492635], train_acc=[0.81075 0.8021 ]
96/100: train_loss=[0.51972014 0.5585489 ], train_acc=[0.80875 0.80275]
98/100: train_loss=[0.5168982 0.5502345], train_acc=[0.8098  0.80345]
100/100: train_loss=[0.5211824 0.5387101], train_acc=[0.8066 0.8051]
**** Time taken for fashion_2 = 3704.6354377269745
loading dataset fashion
==>>> total trainning batch number: 469
==>>> total testing batch number: 79
1/100: train_loss=[1.103839 1.152665], train_acc=[0.5924  0.58235]
2/100: train_loss=[0.989236  1.0049337], train_acc=[0.6281  0.63165]
4/100: train_loss=[0.89373714 0.90145403], train_acc=[0.66965 0.66325]
6/100: train_loss=[0.87651974 0.8354179 ], train_acc=[0.6696  0.69175]
8/100: train_loss=[0.768899  0.7661975], train_acc=[0.71555 0.71975]
10/100: train_loss=[0.7406352 0.7716872], train_acc=[0.72485 0.71685]
12/100: train_loss=[0.7121117 0.7058624], train_acc=[0.73425 0.74255]
14/100: train_loss=[0.7153859  0.69356656], train_acc=[0.7315 0.7459]
16/100: train_loss=[0.66694736 0.6742942 ], train_acc=[0.7544 0.7519]
18/100: train_loss=[0.6635387 0.6563293], train_acc=[0.7553  0.76055]
20/100: train_loss=[0.64407927 0.6472952 ], train_acc=[0.76375 0.75915]
22/100: train_loss=[0.64927036 0.6345371 ], train_acc=[0.7572  0.76665]
24/100: train_loss=[0.62127984 0.6524994 ], train_acc=[0.77205 0.7548 ]
26/100: train_loss=[0.6396954  0.62294155], train_acc=[0.7641  0.76945]
28/100: train_loss=[0.6092629  0.62703395], train_acc=[0.77795 0.76565]
30/100: train_loss=[0.60338247 0.60882   ], train_acc=[0.7776  0.77625]
32/100: train_loss=[0.59863186 0.6059563 ], train_acc=[0.78005 0.7761 ]
34/100: train_loss=[0.5977522 0.6286584], train_acc=[0.7833 0.7686]
36/100: train_loss=[0.59463125 0.60229266], train_acc=[0.7837 0.7776]
38/100: train_loss=[0.59196657 0.607782  ], train_acc=[0.7855 0.7733]
40/100: train_loss=[0.5763301 0.5996338], train_acc=[0.78865 0.78315]
42/100: train_loss=[0.5822117  0.59424937], train_acc=[0.79135 0.7811 ]
44/100: train_loss=[0.57373744 0.5771193 ], train_acc=[0.7926  0.78965]
46/100: train_loss=[0.5659159  0.57789785], train_acc=[0.79455 0.78635]
48/100: train_loss=[0.5658239 0.5707548], train_acc=[0.79555 0.79145]
50/100: train_loss=[0.5835412 0.5806442], train_acc=[0.7885  0.78795]
52/100: train_loss=[0.57938176 0.57125926], train_acc=[0.7872 0.7911]
54/100: train_loss=[0.57139885 0.5761818 ], train_acc=[0.793  0.7881]
56/100: train_loss=[0.5582156 0.5710661], train_acc=[0.79705 0.7935 ]
58/100: train_loss=[0.56312615 0.5718318 ], train_acc=[0.79255 0.7922 ]
60/100: train_loss=[0.56719464 0.57292324], train_acc=[0.7936  0.79035]
62/100: train_loss=[0.5673455 0.5683897], train_acc=[0.79285 0.79115]
64/100: train_loss=[0.5766932  0.57561684], train_acc=[0.78675 0.78575]
66/100: train_loss=[0.5607391  0.56509286], train_acc=[0.79325 0.795  ]
68/100: train_loss=[0.5649907 0.5846447], train_acc=[0.79245 0.79025]
70/100: train_loss=[0.55919516 0.5628023 ], train_acc=[0.79865 0.79735]
72/100: train_loss=[0.55110353 0.56051666], train_acc=[0.79885 0.7974 ]
74/100: train_loss=[0.54898244 0.55888486], train_acc=[0.80095 0.7961 ]
76/100: train_loss=[0.55940884 0.5716344 ], train_acc=[0.7954  0.79155]
78/100: train_loss=[0.5490553  0.56201124], train_acc=[0.80115 0.7954 ]
80/100: train_loss=[0.5454782  0.56292164], train_acc=[0.80385 0.7985 ]
82/100: train_loss=[0.55347645 0.5514932 ], train_acc=[0.801  0.7995]
84/100: train_loss=[0.54081315 0.5527053 ], train_acc=[0.8029  0.79975]
86/100: train_loss=[0.5530521  0.56019104], train_acc=[0.79765 0.79635]
88/100: train_loss=[0.5397457  0.55733454], train_acc=[0.80425 0.7977 ]
90/100: train_loss=[0.53949916 0.56195545], train_acc=[0.80365 0.7984 ]
92/100: train_loss=[0.54334104 0.55494475], train_acc=[0.80475 0.79885]
94/100: train_loss=[0.53988975 0.56004614], train_acc=[0.80545 0.7989 ]
96/100: train_loss=[0.5389763  0.55592525], train_acc=[0.80455 0.7987 ]
98/100: train_loss=[0.54142326 0.5496121 ], train_acc=[0.80555 0.801  ]
100/100: train_loss=[0.53813064 0.5588076 ], train_acc=[0.8054  0.79915]
**** Time taken for fashion_3 = 3708.4881298542023
loading dataset fashion
==>>> total trainning batch number: 469
==>>> total testing batch number: 79
1/100: train_loss=[1.230543  1.3205304], train_acc=[0.544   0.51505]
2/100: train_loss=[1.0265574 1.1089616], train_acc=[0.611   0.60035]
4/100: train_loss=[0.88267934 0.9461108 ], train_acc=[0.66775 0.65575]
6/100: train_loss=[0.8408405 0.8661094], train_acc=[0.68115 0.6837 ]
8/100: train_loss=[0.7776446  0.82779956], train_acc=[0.70765 0.6991 ]
10/100: train_loss=[0.7668279 0.7794019], train_acc=[0.7129 0.7189]
12/100: train_loss=[0.72286904 0.7832678 ], train_acc=[0.73   0.7096]
14/100: train_loss=[0.7211829  0.77961373], train_acc=[0.7292 0.714 ]
16/100: train_loss=[0.70455754 0.754496  ], train_acc=[0.73435 0.7233 ]
18/100: train_loss=[0.6768212 0.7157194], train_acc=[0.74905 0.7369 ]
20/100: train_loss=[0.69505817 0.7301537 ], train_acc=[0.7362  0.73325]
22/100: train_loss=[0.69484   0.7235357], train_acc=[0.74305 0.7452 ]
24/100: train_loss=[0.67542    0.71905965], train_acc=[0.74855 0.74145]
26/100: train_loss=[0.6419134 0.664577 ], train_acc=[0.7589  0.75885]
28/100: train_loss=[0.6440267 0.6598638], train_acc=[0.7582 0.7598]
30/100: train_loss=[0.6343361  0.67339164], train_acc=[0.764   0.75725]
32/100: train_loss=[0.6164597 0.6433231], train_acc=[0.77205 0.7689 ]
34/100: train_loss=[0.6215368 0.6370017], train_acc=[0.7732  0.77065]
36/100: train_loss=[0.6413809  0.67966986], train_acc=[0.7601  0.75245]
38/100: train_loss=[0.6051849 0.6531788], train_acc=[0.7753 0.7626]
40/100: train_loss=[0.6258799 0.6471512], train_acc=[0.76825 0.76635]
42/100: train_loss=[0.599624 0.623264], train_acc=[0.7729 0.7755]
44/100: train_loss=[0.5977153 0.630942 ], train_acc=[0.77865 0.77085]
46/100: train_loss=[0.60590154 0.61823004], train_acc=[0.77115 0.77395]
48/100: train_loss=[0.59904134 0.64325887], train_acc=[0.7787  0.76285]
50/100: train_loss=[0.5800277 0.6112377], train_acc=[0.7864  0.77665]
52/100: train_loss=[0.60444415 0.6199397 ], train_acc=[0.7757 0.776 ]
54/100: train_loss=[0.57867247 0.6595113 ], train_acc=[0.78425 0.7521 ]
56/100: train_loss=[0.61334175 0.6136123 ], train_acc=[0.76685 0.7793 ]
58/100: train_loss=[0.57500607 0.593611  ], train_acc=[0.78445 0.78825]
60/100: train_loss=[0.5757977  0.59442776], train_acc=[0.7883 0.7872]
62/100: train_loss=[0.5723216 0.5923136], train_acc=[0.79235 0.7851 ]
64/100: train_loss=[0.57790995 0.60188544], train_acc=[0.78265 0.7803 ]
66/100: train_loss=[0.56458265 0.5832758 ], train_acc=[0.79015 0.791  ]
68/100: train_loss=[0.6127867  0.59325415], train_acc=[0.77755 0.784  ]
70/100: train_loss=[0.55264544 0.5749964 ], train_acc=[0.79915 0.79395]
72/100: train_loss=[0.55317616 0.5872673 ], train_acc=[0.79635 0.7864 ]
74/100: train_loss=[0.55455434 0.5740707 ], train_acc=[0.7949 0.7926]
76/100: train_loss=[0.5899274 0.5760979], train_acc=[0.785   0.79335]
78/100: train_loss=[0.57006556 0.6049011 ], train_acc=[0.7899 0.7846]
80/100: train_loss=[0.56155723 0.5725472 ], train_acc=[0.7944  0.79285]
82/100: train_loss=[0.5519807 0.5731835], train_acc=[0.79975 0.79205]
84/100: train_loss=[0.55528075 0.56648195], train_acc=[0.79425 0.79265]
86/100: train_loss=[0.5602892 0.5737627], train_acc=[0.79365 0.78945]
88/100: train_loss=[0.5346866 0.5904102], train_acc=[0.80375 0.77875]
90/100: train_loss=[0.546291  0.5696157], train_acc=[0.7982  0.79135]
92/100: train_loss=[0.54088074 0.55367756], train_acc=[0.7988 0.799 ]
94/100: train_loss=[0.54665804 0.6004534 ], train_acc=[0.7967  0.78015]
96/100: train_loss=[0.54166096 0.5626287 ], train_acc=[0.8041 0.7944]
98/100: train_loss=[0.53813124 0.5652114 ], train_acc=[0.8035  0.79625]
100/100: train_loss=[0.54843515 0.57179457], train_acc=[0.803   0.79545]
**** Time taken for fashion_4 = 2876.828598022461
**** Time taken for fashion = 17959.357291936874
loading dataset fashion_and_mnist
==>>> total trainning batch number: 469
==>>> total testing batch number: 79
1/100: train_loss=[1.2868488 1.0072286], train_acc=[0.5705 0.6279]
2/100: train_loss=[1.0948713  0.89487886], train_acc=[0.6338  0.66565]
4/100: train_loss=[0.8910797 0.8004288], train_acc=[0.7042 0.7081]
6/100: train_loss=[0.74709564 0.7512312 ], train_acc=[0.752  0.7205]
8/100: train_loss=[0.7028753 0.7068925], train_acc=[0.76875 0.7388 ]
10/100: train_loss=[0.5971242  0.68698746], train_acc=[0.80565 0.74425]
12/100: train_loss=[0.5684352  0.67057425], train_acc=[0.81235 0.75055]
14/100: train_loss=[0.5361379 0.6509805], train_acc=[0.82205 0.75905]
16/100: train_loss=[0.50550014 0.64117134], train_acc=[0.83365 0.7611 ]
18/100: train_loss=[0.48359883 0.6170806 ], train_acc=[0.84285 0.76975]
20/100: train_loss=[0.47394535 0.6033348 ], train_acc=[0.8444  0.77445]
22/100: train_loss=[0.48262933 0.60621876], train_acc=[0.8418  0.77185]
24/100: train_loss=[0.48928553 0.6305814 ], train_acc=[0.83925 0.7703 ]
26/100: train_loss=[0.4469202 0.587358 ], train_acc=[0.85445 0.7792 ]
28/100: train_loss=[0.41519132 0.57171464], train_acc=[0.8656  0.78595]
30/100: train_loss=[0.40777057 0.5924052 ], train_acc=[0.8693 0.7757]
32/100: train_loss=[0.40790796 0.5725639 ], train_acc=[0.8687  0.78545]
34/100: train_loss=[0.39933228 0.5633552 ], train_acc=[0.871  0.7894]
36/100: train_loss=[0.42407593 0.5801435 ], train_acc=[0.8671  0.78325]
38/100: train_loss=[0.38720578 0.552789  ], train_acc=[0.87785 0.79145]
40/100: train_loss=[0.4363313 0.5596186], train_acc=[0.8587 0.7895]
42/100: train_loss=[0.36961   0.5490974], train_acc=[0.88155 0.7953 ]
44/100: train_loss=[0.38654593 0.55492806], train_acc=[0.87575 0.79215]
46/100: train_loss=[0.36705455 0.5744194 ], train_acc=[0.88225 0.78585]
48/100: train_loss=[0.3679107 0.5435038], train_acc=[0.88295 0.7971 ]
50/100: train_loss=[0.34922132 0.5364717 ], train_acc=[0.88945 0.79785]
52/100: train_loss=[0.37655243 0.54269224], train_acc=[0.87805 0.7969 ]
54/100: train_loss=[0.37706453 0.5586581 ], train_acc=[0.8751  0.78965]
56/100: train_loss=[0.34161618 0.53581613], train_acc=[0.8899  0.79985]
58/100: train_loss=[0.32868508 0.5270994 ], train_acc=[0.8962 0.8051]
60/100: train_loss=[0.33844686 0.5269777 ], train_acc=[0.893  0.8064]
62/100: train_loss=[0.33896402 0.5470816 ], train_acc=[0.89145 0.7991 ]
64/100: train_loss=[0.34185562 0.5250621 ], train_acc=[0.89015 0.8053 ]
66/100: train_loss=[0.35454068 0.553143  ], train_acc=[0.88485 0.795  ]
68/100: train_loss=[0.32218382 0.5242159 ], train_acc=[0.89765 0.8065 ]
70/100: train_loss=[0.3267071  0.52543914], train_acc=[0.89535 0.80555]
72/100: train_loss=[0.30983508 0.51005095], train_acc=[0.90105 0.81075]
74/100: train_loss=[0.3036737 0.5111284], train_acc=[0.9037  0.81145]
76/100: train_loss=[0.30942652 0.5143017 ], train_acc=[0.89905 0.8114 ]
78/100: train_loss=[0.30773592 0.5041224 ], train_acc=[0.90135 0.813  ]
80/100: train_loss=[0.32861125 0.5320322 ], train_acc=[0.89255 0.7992 ]
82/100: train_loss=[0.30223045 0.5030529 ], train_acc=[0.9036  0.81485]
84/100: train_loss=[0.31842908 0.5034952 ], train_acc=[0.8983 0.8147]
86/100: train_loss=[0.29563248 0.50527906], train_acc=[0.90515 0.8145 ]
88/100: train_loss=[0.2952859 0.516224 ], train_acc=[0.9069  0.80815]
90/100: train_loss=[0.30336517 0.50496924], train_acc=[0.90465 0.8137 ]
92/100: train_loss=[0.29184145 0.5259343 ], train_acc=[0.90585 0.80745]
94/100: train_loss=[0.28800622 0.5090652 ], train_acc=[0.9104 0.8128]
96/100: train_loss=[0.30251125 0.49766797], train_acc=[0.9019  0.81715]
98/100: train_loss=[0.28755465 0.49558395], train_acc=[0.9095 0.8146]
100/100: train_loss=[0.2775914 0.4920327], train_acc=[0.9125 0.8184]
**** Time taken for fashion_and_mnist_0 = 2397.4356524944305
loading dataset fashion_and_mnist
==>>> total trainning batch number: 469
==>>> total testing batch number: 79
1/100: train_loss=[1.1687721  0.96348673], train_acc=[0.6122 0.6488]
2/100: train_loss=[0.943676   0.85374576], train_acc=[0.6875 0.6807]
4/100: train_loss=[0.7028572 0.7452385], train_acc=[0.7764  0.72095]
6/100: train_loss=[0.6371522 0.7095128], train_acc=[0.79625 0.7378 ]
8/100: train_loss=[0.55116236 0.6701509 ], train_acc=[0.8211 0.7543]
10/100: train_loss=[0.5224098 0.6543363], train_acc=[0.83105 0.7601 ]
12/100: train_loss=[0.48359624 0.6499934 ], train_acc=[0.84365 0.7596 ]
14/100: train_loss=[0.4598067 0.6269571], train_acc=[0.85115 0.76995]
16/100: train_loss=[0.43640563 0.613876  ], train_acc=[0.86235 0.7704 ]
18/100: train_loss=[0.4345541 0.6081056], train_acc=[0.8603 0.7749]
20/100: train_loss=[0.39441285 0.6170212 ], train_acc=[0.87315 0.77   ]
22/100: train_loss=[0.37805846 0.5917431 ], train_acc=[0.8805  0.78315]
24/100: train_loss=[0.37774476 0.583322  ], train_acc=[0.87735 0.7842 ]
26/100: train_loss=[0.39675668 0.60309505], train_acc=[0.8736  0.77655]
28/100: train_loss=[0.3465262  0.63987726], train_acc=[0.88835 0.7641 ]
30/100: train_loss=[0.3335487  0.57913685], train_acc=[0.8939  0.78755]
32/100: train_loss=[0.33728454 0.5607348 ], train_acc=[0.89305 0.79305]
34/100: train_loss=[0.31272075 0.5489726 ], train_acc=[0.89845 0.7965 ]
36/100: train_loss=[0.3159241  0.54663616], train_acc=[0.8975  0.79875]
38/100: train_loss=[0.3020685 0.5457098], train_acc=[0.90475 0.7985 ]
40/100: train_loss=[0.2958179 0.5449002], train_acc=[0.9042 0.7972]
42/100: train_loss=[0.30575114 0.5504605 ], train_acc=[0.90115 0.79575]
44/100: train_loss=[0.28282857 0.5398956 ], train_acc=[0.9098 0.7991]
46/100: train_loss=[0.28601506 0.55146325], train_acc=[0.9064  0.79505]
48/100: train_loss=[0.29515353 0.5352963 ], train_acc=[0.905  0.8009]
50/100: train_loss=[0.2713884 0.5305496], train_acc=[0.913   0.80185]
52/100: train_loss=[0.26526192 0.5312752 ], train_acc=[0.91605 0.803  ]
54/100: train_loss=[0.26569277 0.53362906], train_acc=[0.9149  0.79985]
56/100: train_loss=[0.26910892 0.5245648 ], train_acc=[0.914   0.80695]
58/100: train_loss=[0.27067122 0.52235067], train_acc=[0.91375 0.80425]
60/100: train_loss=[0.2520009  0.51809025], train_acc=[0.91995 0.80725]
62/100: train_loss=[0.26206142 0.52412814], train_acc=[0.91685 0.80735]
64/100: train_loss=[0.26270828 0.52734923], train_acc=[0.91525 0.8035 ]
66/100: train_loss=[0.25663984 0.5140706 ], train_acc=[0.91775 0.8091 ]
68/100: train_loss=[0.2508836 0.5147577], train_acc=[0.91975 0.80885]
70/100: train_loss=[0.24401909 0.50860876], train_acc=[0.9228 0.8137]
72/100: train_loss=[0.24898186 0.5071376 ], train_acc=[0.9218 0.8132]
74/100: train_loss=[0.24744791 0.5133859 ], train_acc=[0.92135 0.81265]
76/100: train_loss=[0.23952214 0.509398  ], train_acc=[0.9258 0.8107]
78/100: train_loss=[0.23720795 0.50996244], train_acc=[0.926  0.8134]
80/100: train_loss=[0.23920311 0.5010846 ], train_acc=[0.92435 0.815  ]
82/100: train_loss=[0.23922437 0.5023349 ], train_acc=[0.92375 0.81605]
84/100: train_loss=[0.24109757 0.5221323 ], train_acc=[0.9236 0.8096]
86/100: train_loss=[0.23570223 0.49399096], train_acc=[0.926  0.8187]
88/100: train_loss=[0.23779935 0.5049064 ], train_acc=[0.9245 0.8167]
90/100: train_loss=[0.23158014 0.5023906 ], train_acc=[0.92675 0.8165 ]
92/100: train_loss=[0.23066138 0.5035443 ], train_acc=[0.92715 0.8136 ]
94/100: train_loss=[0.23612875 0.50190187], train_acc=[0.9243  0.81485]
96/100: train_loss=[0.24405563 0.5034668 ], train_acc=[0.92145 0.81485]
98/100: train_loss=[0.22743313 0.497835  ], train_acc=[0.9264  0.81845]
100/100: train_loss=[0.26875633 0.5111662 ], train_acc=[0.9144  0.81595]
**** Time taken for fashion_and_mnist_1 = 2470.986592531204
loading dataset fashion_and_mnist
==>>> total trainning batch number: 469
==>>> total testing batch number: 79
1/100: train_loss=[1.2998073 1.03601  ], train_acc=[0.56265 0.6271 ]
2/100: train_loss=[1.030384  0.9313077], train_acc=[0.6545 0.6645]
4/100: train_loss=[0.7996819  0.80526435], train_acc=[0.7337 0.7063]
6/100: train_loss=[0.6741626 0.7613914], train_acc=[0.7794 0.7153]
8/100: train_loss=[0.6039368 0.7042264], train_acc=[0.7995  0.73435]
10/100: train_loss=[0.55611855 0.6962409 ], train_acc=[0.8163  0.74065]
12/100: train_loss=[0.5195371 0.6764206], train_acc=[0.8274  0.74825]
14/100: train_loss=[0.4960597 0.6667446], train_acc=[0.83595 0.754  ]
16/100: train_loss=[0.45969594 0.62915826], train_acc=[0.84905 0.76655]
18/100: train_loss=[0.44610158 0.614756  ], train_acc=[0.8538  0.77005]
20/100: train_loss=[0.41677505 0.6135881 ], train_acc=[0.86375 0.7732 ]
22/100: train_loss=[0.40077677 0.60988635], train_acc=[0.869   0.77645]
24/100: train_loss=[0.39121613 0.5952702 ], train_acc=[0.8734 0.7775]
26/100: train_loss=[0.38170266 0.59225726], train_acc=[0.87385 0.7787 ]
28/100: train_loss=[0.37609646 0.58660084], train_acc=[0.87655 0.78315]
30/100: train_loss=[0.36227697 0.57526755], train_acc=[0.88275 0.7852 ]
32/100: train_loss=[0.39120984 0.6948112 ], train_acc=[0.8682 0.7537]
34/100: train_loss=[0.37035426 0.5644119 ], train_acc=[0.87605 0.79185]
36/100: train_loss=[0.36368215 0.554902  ], train_acc=[0.8795 0.7934]
38/100: train_loss=[0.34205216 0.58149207], train_acc=[0.88855 0.7834 ]
40/100: train_loss=[0.3427739  0.55407226], train_acc=[0.88585 0.79595]
42/100: train_loss=[0.31529647 0.54950243], train_acc=[0.89435 0.79565]
44/100: train_loss=[0.30702195 0.5407367 ], train_acc=[0.898   0.79945]
46/100: train_loss=[0.29443103 0.58019596], train_acc=[0.9031  0.78875]
48/100: train_loss=[0.29967186 0.57169306], train_acc=[0.9021 0.7895]
50/100: train_loss=[0.2899838 0.5319179], train_acc=[0.9042 0.8041]
52/100: train_loss=[0.283046   0.53054124], train_acc=[0.90625 0.8034 ]
54/100: train_loss=[0.2796843 0.5677112], train_acc=[0.90815 0.78475]
56/100: train_loss=[0.27528685 0.5180788 ], train_acc=[0.91025 0.8108 ]
58/100: train_loss=[0.2792552 0.5280527], train_acc=[0.90595 0.80415]
60/100: train_loss=[0.27049533 0.51268405], train_acc=[0.9106 0.8118]
62/100: train_loss=[0.2735991  0.53281385], train_acc=[0.90805 0.8059 ]
64/100: train_loss=[0.26479575 0.5207255 ], train_acc=[0.9118  0.81155]
66/100: train_loss=[0.2707884 0.5195498], train_acc=[0.91035 0.8098 ]
68/100: train_loss=[0.2975433 0.532005 ], train_acc=[0.90295 0.80315]
70/100: train_loss=[0.26595083 0.5383806 ], train_acc=[0.91215 0.8006 ]
72/100: train_loss=[0.26647386 0.5190029 ], train_acc=[0.91205 0.8104 ]
74/100: train_loss=[0.2576174 0.526225 ], train_acc=[0.91535 0.80575]
76/100: train_loss=[0.25694254 0.5116439 ], train_acc=[0.9165  0.81175]
78/100: train_loss=[0.27509487 0.49902272], train_acc=[0.9091 0.8152]
80/100: train_loss=[0.25531486 0.52211446], train_acc=[0.9163  0.80765]
82/100: train_loss=[0.2609011 0.5033681], train_acc=[0.9142 0.8173]
84/100: train_loss=[0.24561355 0.48867136], train_acc=[0.91965 0.8197 ]
86/100: train_loss=[0.25577047 0.508183  ], train_acc=[0.9164 0.8106]
88/100: train_loss=[0.24677919 0.49397367], train_acc=[0.9198  0.81685]
90/100: train_loss=[0.26280418 0.49556342], train_acc=[0.9151  0.81815]
92/100: train_loss=[0.24957372 0.5262028 ], train_acc=[0.9181  0.80245]
94/100: train_loss=[0.27503914 0.5070395 ], train_acc=[0.9119  0.81415]
96/100: train_loss=[0.25625557 0.50364333], train_acc=[0.91605 0.8148 ]
98/100: train_loss=[0.23494022 0.486225  ], train_acc=[0.9241 0.8221]
100/100: train_loss=[0.2525109  0.48621166], train_acc=[0.91955 0.82315]
**** Time taken for fashion_and_mnist_2 = 2401.1692504882812
loading dataset fashion_and_mnist
==>>> total trainning batch number: 469
==>>> total testing batch number: 79
1/100: train_loss=[1.2870125 1.1036671], train_acc=[0.56505 0.60175]
2/100: train_loss=[0.9645884 0.8841131], train_acc=[0.67125 0.67605]
4/100: train_loss=[0.76623267 0.81525433], train_acc=[0.7403  0.70545]
6/100: train_loss=[0.65914947 0.7376472 ], train_acc=[0.78115 0.73185]
8/100: train_loss=[0.5761184 0.7146499], train_acc=[0.8078  0.74045]
10/100: train_loss=[0.5384811 0.6753256], train_acc=[0.8225 0.7502]
12/100: train_loss=[0.5059823 0.6563951], train_acc=[0.83515 0.75985]
14/100: train_loss=[0.4769858  0.65642464], train_acc=[0.84575 0.76205]
16/100: train_loss=[0.44698784 0.64783627], train_acc=[0.8542 0.7609]
