==>>> total trainning batch number: 469
==>>> total testing batch number: 79
Preference Vector (4/5):
[0.382756   0.92384946]
fealsible solution is obtained.
1/100: weights=[ 0.99499184 -0.00500816], train_loss=[1.1220326 1.6082925], train_acc=[0.5906  0.42945]
66/100: weights=[0.768705 0.231295], train_loss=[0.35788128 0.50881857], train_acc=[0.8826 0.8114]
68/100: weights=[0.05061513 0.94938487], train_loss=[0.34289822 0.53574085], train_acc=[0.88725 0.8046 ]
70/100: weights=[0.5763371  0.42366287], train_loss=[0.33589315 0.49589336], train_acc=[0.8899 0.8197]
72/100: weights=[0.18533231 0.8146677 ], train_loss=[0.3406613  0.50209856], train_acc=[0.88895 0.81825]
74/100: weights=[0.23559238 0.76440763], train_loss=[0.32715794 0.50464475], train_acc=[0.89375 0.81355]
76/100: weights=[0.6878787  0.31212127], train_loss=[0.32978284 0.49720815], train_acc=[0.8924 0.8171]
78/100: weights=[0.65955675 0.34044328], train_loss=[0.33116704 0.49018064], train_acc=[0.89405 0.82125]
80/100: weights=[0.5835493  0.41645068], train_loss=[0.32876885 0.4967554 ], train_acc=[0.8916 0.8169]
82/100: weights=[0.4163075  0.58369243], train_loss=[0.3236263  0.49154854], train_acc=[0.8947 0.8205]
84/100: weights=[0.42928076 0.57071924], train_loss=[0.31778684 0.48715675], train_acc=[0.8972 0.8213]
86/100: weights=[0.2929529 0.7070471], train_loss=[0.31578258 0.48434415], train_acc=[0.89715 0.82205]
88/100: weights=[0.46080303 0.53919697], train_loss=[0.31291708 0.49086776], train_acc=[0.89825 0.82175]
90/100: weights=[0.10273783 0.8972622 ], train_loss=[0.3147564 0.498008 ], train_acc=[0.8977 0.815 ]
92/100: weights=[0.23789538 0.7621046 ], train_loss=[0.30971798 0.48645696], train_acc=[0.8989 0.8239]
94/100: weights=[0.3144725 0.6855275], train_loss=[0.31058478 0.4882067 ], train_acc=[0.8969  0.81945]
96/100: weights=[0.29741502 0.70258504], train_loss=[0.30744332 0.4868547 ], train_acc=[0.90065 0.82075]
98/100: weights=[0.41439962 0.5856004 ], train_loss=[0.30830038 0.47487187], train_acc=[0.89985 0.8264 ]
100/100: weights=[0.18211094 0.8178891 ], train_loss=[0.3070878  0.47603637], train_acc=[0.8995  0.82465]
**** Time taken for fashion_and_mnist_2 = 855.638060092926
==>>> total trainning batch number: 469
==>>> total testing batch number: 79
Preference Vector (4/5):
[0.382756   0.92384946]
fealsible solution is obtained.
1/100: weights=[0.92266643 0.07733354], train_loss=[1.1573632 1.7080473], train_acc=[0.6154 0.3937]
2/100: weights=[ 0.78779465 -0.21220534], train_loss=[0.87966967 1.308376  ], train_acc=[0.71225 0.53195]
4/100: weights=[0.8544732  0.14552686], train_loss=[0.6773882  0.99376565], train_acc=[0.778   0.63035]
6/100: weights=[0.7680958  0.23190424], train_loss=[0.6460464 0.9116783], train_acc=[0.7874 0.6563]
8/100: weights=[0.514714   0.48528597], train_loss=[0.5105481 0.823631 ], train_acc=[0.83635 0.6973 ]
10/100: weights=[0.3866084  0.61339164], train_loss=[0.4664034 0.7839958], train_acc=[0.84895 0.71485]
12/100: weights=[0.55104935 0.44895062], train_loss=[0.43784624 0.74849355], train_acc=[0.85785 0.7148 ]
14/100: weights=[0.14756209 0.8524379 ], train_loss=[0.4333799  0.72786635], train_acc=[0.8604  0.72595]
16/100: weights=[0.98681    0.01318998], train_loss=[0.4573474 0.701479 ], train_acc=[0.8455  0.73605]
18/100: weights=[0.21870267 0.7812973 ], train_loss=[0.3832617 0.6779732], train_acc=[0.877  0.7426]
20/100: weights=[0.35359466 0.64640534], train_loss=[0.3751148 0.6898542], train_acc=[0.8802  0.74305]
22/100: weights=[0.54211813 0.45788187], train_loss=[0.4150059 0.6680606], train_acc=[0.8647  0.74705]
24/100: weights=[0.7777059 0.2222941], train_loss=[0.37237522 0.63343287], train_acc=[0.87845 0.7655 ]
26/100: weights=[0.5201981 0.4798019], train_loss=[0.34671226 0.6225667 ], train_acc=[0.88985 0.76895]
28/100: weights=[0.2818212 0.7181788], train_loss=[0.32914397 0.63163865], train_acc=[0.89495 0.76355]
30/100: weights=[0.39020422 0.6097958 ], train_loss=[0.3279732 0.6270804], train_acc=[0.8956  0.76595]
32/100: weights=[0.11073469 0.8892653 ], train_loss=[0.3170867  0.60103333], train_acc=[0.89875 0.78025]
34/100: weights=[0.48650673 0.51349324], train_loss=[0.32183075 0.5923746 ], train_acc=[0.8973 0.7796]
36/100: weights=[0.5239036  0.47609636], train_loss=[0.35853526 0.61137843], train_acc=[0.8828  0.77555]
38/100: weights=[0.44613785 0.55386215], train_loss=[0.30796057 0.5834752 ], train_acc=[0.9004 0.7819]
40/100: weights=[0.5855569  0.41444308], train_loss=[0.30313435 0.5875283 ], train_acc=[0.90285 0.77915]
42/100: weights=[0.55848116 0.44151887], train_loss=[0.3115489  0.57575977], train_acc=[0.89955 0.7859 ]
44/100: weights=[0.5711916  0.42880842], train_loss=[0.2870832  0.57012016], train_acc=[0.9046 0.7911]
46/100: weights=[0.50066423 0.49933574], train_loss=[0.2907642 0.5601034], train_acc=[0.90415 0.79415]
48/100: weights=[0.93612903 0.06387101], train_loss=[0.2905042 0.5547414], train_acc=[0.9065 0.795 ]
50/100: weights=[0.40666083 0.59333915], train_loss=[0.28142628 0.5840396 ], train_acc=[0.9067 0.7789]
52/100: weights=[0.29455075 0.7054493 ], train_loss=[0.29627416 0.54727626], train_acc=[0.902   0.80045]
54/100: weights=[0.43675303 0.56324697], train_loss=[0.28653932 0.57785785], train_acc=[0.90725 0.7882 ]
56/100: weights=[0.16401085 0.8359892 ], train_loss=[0.2706458 0.5493481], train_acc=[0.91175 0.79715]
58/100: weights=[0.5179664  0.48203358], train_loss=[0.26952577 0.5434751 ], train_acc=[0.912   0.79945]
60/100: weights=[0.54300237 0.45699763], train_loss=[0.27878708 0.5377879 ], train_acc=[0.9091 0.8035]
62/100: weights=[0.7636885  0.23631153], train_loss=[0.27602282 0.5364966 ], train_acc=[0.91    0.80255]
64/100: weights=[0.54757816 0.45242184], train_loss=[0.27191105 0.53702587], train_acc=[0.91105 0.80525]
66/100: weights=[0.8292169  0.17078312], train_loss=[0.27678806 0.5382277 ], train_acc=[0.90935 0.80075]
68/100: weights=[0.5210291 0.4789709], train_loss=[0.2796054  0.53562546], train_acc=[0.90945 0.80515]
70/100: weights=[0.43933597 0.560664  ], train_loss=[0.2675086 0.5271015], train_acc=[0.9124 0.8056]
72/100: weights=[0.27283913 0.7271609 ], train_loss=[0.26080337 0.5332036 ], train_acc=[0.91465 0.8052 ]
74/100: weights=[0.80544865 0.19455132], train_loss=[0.26995644 0.52924687], train_acc=[0.91145 0.80785]
76/100: weights=[0.3978128  0.60218716], train_loss=[0.25970465 0.52264905], train_acc=[0.91535 0.80945]
78/100: weights=[0.65957874 0.34042126], train_loss=[0.2612844  0.53880477], train_acc=[0.9143  0.80335]
80/100: weights=[0.73430943 0.26569054], train_loss=[0.2581212 0.5186463], train_acc=[0.9161 0.8114]
82/100: weights=[0.32264557 0.67735445], train_loss=[0.25494328 0.5237679 ], train_acc=[0.91635 0.80775]
84/100: weights=[0.5513702 0.4486298], train_loss=[0.25197312 0.51904315], train_acc=[0.9182  0.80905]
86/100: weights=[0.5994873  0.40051273], train_loss=[0.25418603 0.51674056], train_acc=[0.9167  0.81165]
88/100: weights=[0.62857056 0.37142944], train_loss=[0.2510295  0.51772654], train_acc=[0.91845 0.80925]
90/100: weights=[0.36609522 0.6339048 ], train_loss=[0.25473413 0.5112046 ], train_acc=[0.91735 0.8137 ]
92/100: weights=[0.5519325 0.4480675], train_loss=[0.25122693 0.51231045], train_acc=[0.91885 0.81325]
94/100: weights=[0.47739702 0.522603  ], train_loss=[0.25735828 0.5189801 ], train_acc=[0.9153  0.81185]
96/100: weights=[0.5264893  0.47351068], train_loss=[0.2581141  0.51213056], train_acc=[0.9169  0.81245]
98/100: weights=[0.42227393 0.57772607], train_loss=[0.26704538 0.50912297], train_acc=[0.91345 0.8145 ]
100/100: weights=[0.44608963 0.5539104 ], train_loss=[0.24333216 0.5050976 ], train_acc=[0.92105 0.81585]
**** Time taken for fashion_and_mnist_3 = 856.8629956245422
==>>> total trainning batch number: 469
==>>> total testing batch number: 79
Preference Vector (5/5):
[1.5707963e-04 1.0000000e+00]
fealsible solution is obtained.
1/100: weights=[0.9371237  0.06287624], train_loss=[1.0783807 2.8078763], train_acc=[0.6421  0.18555]
2/100: weights=[0.7893082  0.21069184], train_loss=[0.8620314 1.9324347], train_acc=[0.71755 0.3454 ]
4/100: weights=[0.6117963 0.3882037], train_loss=[0.69106257 1.3622086 ], train_acc=[0.7727  0.50435]
6/100: weights=[0.78456116 0.21543877], train_loss=[0.5877712 1.0977197], train_acc=[0.8068  0.60025]
8/100: weights=[0.5913113  0.40868875], train_loss=[0.5151214 0.9758006], train_acc=[0.832   0.65055]
10/100: weights=[0.92803144 0.07196856], train_loss=[0.48392895 0.8993432 ], train_acc=[0.84285 0.67595]
12/100: weights=[0.8661202  0.13387978], train_loss=[0.47091547 0.85627896], train_acc=[0.84535 0.68555]
14/100: weights=[0.8968912  0.10310884], train_loss=[0.42221847 0.82748365], train_acc=[0.866  0.6931]
16/100: weights=[0.7245987 0.2754013], train_loss=[0.39619827 0.78834355], train_acc=[0.87195 0.7122 ]
18/100: weights=[0.71616024 0.28383982], train_loss=[0.39473918 0.7732055 ], train_acc=[0.87385 0.71775]
20/100: weights=[0.8828864  0.11711355], train_loss=[0.406404  0.7545005], train_acc=[0.8684 0.7202]
22/100: weights=[0.3001634  0.69983655], train_loss=[0.34097174 0.7583632 ], train_acc=[0.89445 0.71755]
24/100: weights=[0.8960786  0.10392142], train_loss=[0.35981515 0.73028445], train_acc=[0.88345 0.7321 ]
26/100: weights=[0.7146191 0.2853809], train_loss=[0.33970648 0.73905134], train_acc=[0.89145 0.724  ]
28/100: weights=[0.72317016 0.27682984], train_loss=[0.34793076 0.7079304 ], train_acc=[0.8876  0.73955]
30/100: weights=[0.6454781  0.35452187], train_loss=[0.30695388 0.69962156], train_acc=[0.90205 0.7432 ]
32/100: weights=[0.84747845 0.15252152], train_loss=[0.31826895 0.6911515 ], train_acc=[0.89735 0.7459 ]
34/100: weights=[0.7397118 0.2602882], train_loss=[0.2969032 0.6892356], train_acc=[0.90595 0.7446 ]
36/100: weights=[0.58462214 0.41537786], train_loss=[0.294264  0.6836505], train_acc=[0.90675 0.7489 ]
38/100: weights=[0.6422564  0.35774362], train_loss=[0.31316182 0.6866254 ], train_acc=[0.90155 0.74265]
40/100: weights=[0.92070633 0.07929368], train_loss=[0.28348827 0.67602456], train_acc=[0.9106  0.74635]
42/100: weights=[0.8881814  0.11181857], train_loss=[0.29002708 0.6656999 ], train_acc=[0.90725 0.75415]
44/100: weights=[0.58813125 0.41186866], train_loss=[0.28053376 0.6630188 ], train_acc=[0.91105 0.7533 ]
46/100: weights=[0.55615294 0.4438471 ], train_loss=[0.27632022 0.6608566 ], train_acc=[0.9116  0.75255]
48/100: weights=[0.82835346 0.17164648], train_loss=[0.2657984 0.6579615], train_acc=[0.9155 0.7563]
50/100: weights=[0.84923387 0.15076615], train_loss=[0.270894   0.64964336], train_acc=[0.91305 0.7569 ]
52/100: weights=[0.72585547 0.27414447], train_loss=[0.257741  0.6497824], train_acc=[0.9186  0.75715]
54/100: weights=[0.6103474 0.3896526], train_loss=[0.2616568  0.64799947], train_acc=[0.91775 0.7573 ]
56/100: weights=[0.9589892  0.04101076], train_loss=[0.24777628 0.63765746], train_acc=[0.9225 0.7611]
58/100: weights=[0.748137   0.25186303], train_loss=[0.25589177 0.63862014], train_acc=[0.9191  0.75915]
60/100: weights=[0.9391383  0.06086167], train_loss=[0.2503946 0.6331674], train_acc=[0.92165 0.76325]
62/100: weights=[0.64243454 0.35756555], train_loss=[0.2461229 0.6395555], train_acc=[0.9205  0.75905]
64/100: weights=[0.7508378  0.24916226], train_loss=[0.24055068 0.6367815 ], train_acc=[0.92485 0.76015]
66/100: weights=[0.668845   0.33115497], train_loss=[0.24249001 0.6334007 ], train_acc=[0.92295 0.763  ]
68/100: weights=[0.9474844  0.05251562], train_loss=[0.23967323 0.62591755], train_acc=[0.92345 0.7663 ]
70/100: weights=[0.9145929  0.08540718], train_loss=[0.23805638 0.62340516], train_acc=[0.9229  0.76725]
72/100: weights=[0.84648377 0.15351625], train_loss=[0.23323876 0.6214857 ], train_acc=[0.9265 0.7664]
74/100: weights=[0.4890587  0.51094127], train_loss=[0.23493123 0.6214497 ], train_acc=[0.92555 0.7675 ]
76/100: weights=[0.90305626 0.09694376], train_loss=[0.23722407 0.61831295], train_acc=[0.92475 0.76905]
78/100: weights=[0.77080035 0.22919962], train_loss=[0.22858024 0.6164765 ], train_acc=[0.9293 0.7693]
80/100: weights=[0.95328283 0.04671721], train_loss=[0.22427316 0.6127675 ], train_acc=[0.92845 0.77125]
82/100: weights=[0.77426773 0.22573225], train_loss=[0.22335862 0.61344796], train_acc=[0.92965 0.77065]
84/100: weights=[0.6492696  0.35073042], train_loss=[0.22657397 0.6191628 ], train_acc=[0.92815 0.7685 ]
86/100: weights=[0.71046436 0.28953564], train_loss=[0.22380614 0.61039466], train_acc=[0.92875 0.7729 ]
88/100: weights=[0.7203417  0.27965832], train_loss=[0.225179  0.6158907], train_acc=[0.93    0.76825]
90/100: weights=[0.62270683 0.37729326], train_loss=[0.23533887 0.60424966], train_acc=[0.9266 0.7747]
92/100: weights=[0.6132317  0.38676828], train_loss=[0.2225831  0.61059785], train_acc=[0.9302 0.7737]
94/100: weights=[0.7867012  0.21329878], train_loss=[0.21743922 0.6038454 ], train_acc=[0.9315  0.77495]
96/100: weights=[0.8308224  0.16917765], train_loss=[0.21815331 0.60338247], train_acc=[0.93235 0.7752 ]
98/100: weights=[0.7855195  0.21448052], train_loss=[0.21839772 0.60205543], train_acc=[0.93155 0.7766 ]
100/100: weights=[0.81813455 0.18186544], train_loss=[0.23508759 0.602834  ], train_acc=[0.9247 0.7747]
**** Time taken for fashion_and_mnist_4 = 918.6319608688354
**** Time taken for fashion_and_mnist = 4454.337676048279
